Refrigerant,Adsorbent,adsorbent-subtype,W-0,E,n,Literature
Ethanol,Composite,SG-LiBr,0.00068,6900,1.8,"Brancato, V., et al., Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. Energy, 2015. 84: p. 177-185."
Ethanol,Carbon,AC-SRD-1352/3,0.00082,8780,1.5,"Brancato, V., et al., Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. Energy, 2015. 84: p. 177-185."
Ethanol,Carbon,AC-AP4-60,0.00045,10600,2,"Brancato, V., et al., Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. Energy, 2015. 84: p. 177-185."
Ethanol,Carbon,AC-ATO,0.00061,11200,1.7,"Brancato, V., et al., Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. Energy, 2015. 84: p. 177-185."
Ethanol,Carbon,AC-COC-L1200,0.00044,13300,2,"Brancato, V., et al., Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. Energy, 2015. 84: p. 177-185."
Ethanol,Carbon,ACF-FR20,0.00075,13500,2,"Brancato, V., et al., Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. Energy, 2015. 84: p. 177-185."
Methanol,Carbon,AC-G32-H,0.000482,19220,2.59,"Henninger, S., et al., Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I: Thermophysical characterisation. international journal of refrigeration, 2012. 35(3): p. 543-553."
Methanol,Carbon,AC-Norit-R-1-Extra,0.000519,17380,2.27,"Henninger, S., et al., Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I: Thermophysical characterisation. international journal of refrigeration, 2012. 35(3): p. 543-553."
Methanol,Carbon,AC-RUTGERS-CG1-3,0.000535,14260,1.8,"Henninger, S., et al., Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I: Thermophysical characterisation. international journal of refrigeration, 2012. 35(3): p. 543-553."
Methanol,Carbon,AC-Norit-RX-3-Extra,0.000551,16890,2.06,"Henninger, S., et al., Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I: Thermophysical characterisation. international journal of refrigeration, 2012. 35(3): p. 543-553."
Methanol,Carbon,AC-Carbotech-C40/1,0.000633,12460,1.85,"Henninger, S., et al., Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I: Thermophysical characterisation. international journal of refrigeration, 2012. 35(3): p. 543-553."
