Refrigerant,Adsorbent,adsorbent-subtype,lambda-12,lambda-21,Literature
HCFC12,Lubricant,naphthenic,-189,2199,"Grebner, J.J., The effects of oil on the thermodynamic properties of dichlorodifluoromethane (R-12) and tetrafluoroethane (R-134a). 1992, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HCFC12,Lubricant,paraffinic,-43,4115,"Grebner, J.J., The effects of oil on the thermodynamic properties of dichlorodifluoromethane (R-12) and tetrafluoroethane (R-134a). 1992, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HCFC22,Lubricant,POE,-1070,5716,"Martz, W.L. and A. Jacobi, Refrigerant-oil mixtures and local composition modeling. 1994, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC134a,Lubricant,PAG,2715,-1609,"Martz, W.L. and A. Jacobi, Refrigerant-oil mixtures and local composition modeling. 1994, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC134a,Lubricant,POE,-136,4212,"Grebner, J.J., The effects of oil on the thermodynamic properties of dichlorodifluoromethane (R-12) and tetrafluoroethane (R-134a). 1992, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC134a,Lubricant,POE,1886,20000,"Martz, W.L. and A. Jacobi, Refrigerant-oil mixtures and local composition modeling. 1994, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC125,Lubricant,POE,-381,4579,"Martz, W.L. and A. Jacobi, Refrigerant-oil mixtures and local composition modeling. 1994, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC125,Lubricant,POE,-381,4579,"Burton, C., A. Jacobi, and S. Mehendale, Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester: non-ideality and local composition modeling. International Journal of Refrigeration, 1999. 22(6): p. 458-471."
HFC32,Lubricant,POE,2084.5,157744.1,"Burton, C., A. Jacobi, and S. Mehendale, Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester: non-ideality and local composition modeling. International Journal of Refrigeration, 1999. 22(6): p. 458-471."
HFC32,HFC125,,78.7,0,"Burton, C., A. Jacobi, and S. Mehendale, Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester: non-ideality and local composition modeling. International Journal of Refrigeration, 1999. 22(6): p. 458-471."
