Refrigerant,Adsorbent,adsorbent-subtype,Y0,E,n,Literature
Ethanol,Carbon,Maxsorb-III,1240,5265,1.9,"Uddin, K., et al., Adsorption characteristics of ethanol onto functional activated carbons with controlled oxygen content. Applied Thermal Engineering, 2014. 72(2): p. 211-218."
Ethanol,Carbon,Maxsorb-III,1200,5538,1.75,"El-Sharkawy, I., et al., Experimental investigation on activated carbon methanol pair for solar powered adsorption cooling applications. International Journal of Refrigeration, 2008. 31(8): p. 1407-1413."
Ethanol,Carbon,KOH-H2-treated-Maxsorb-III,1090,5331,1.6,"Uddin, K., et al., Adsorption characteristics of ethanol onto functional activated carbons with controlled oxygen content. Applied Thermal Engineering, 2014. 72(2): p. 211-218."
Ethanol,Carbon,H2-treated-Maxsorb-III,1250,4780,1.9,"Uddin, K., et al., Adsorption characteristics of ethanol onto functional activated carbons with controlled oxygen content. Applied Thermal Engineering, 2014. 72(2): p. 211-218."
Ethanol,Carbon,ACF-A-20,797,6347.1,2,"El-Sharkawy, I., et al., Experimental investigation on activated carbon methanol pair for solar powered adsorption cooling applications. International Journal of Refrigeration, 2008. 31(8): p. 1407-1413."
Ethanol,Carbon,ACF-A-20,797,6347.1,2,"Saha, B.B., et al., Adsorption rate of ethanol on activated carbon fiber. Journal of Chemical & Engineering Data, 2006. 51(5): p. 1587-1592."
Ethanol,Carbon,ACF-A-15,570,8049.2,2,"El-Sharkawy, I., et al., Experimental investigation on activated carbon methanol pair for solar powered adsorption cooling applications. International Journal of Refrigeration, 2008. 31(8): p. 1407-1413."
Ethanol,MOF,MIL-101Cr,1100,6527.4,2.6033,"Rezk, A., et al., Investigation of Ethanol/metal organic frameworks for low temperature adsorption cooling applications. Applied energy, 2013. 112: p. 1025-1031."
Ethanol,Composite,5-Maxsorb-III-4-EG-1-binder,610,5.758,2,"El-Sharkawy, M., et al., Adsorption isotherms and kinetics of a mixture of Pentafluoroethane, 1, 1, 1, 2-Tetrafluoroethane and Difluoromethane (HFC-407C) onto granular activated carbon. Applied Thermal Engineering, 2016. 93: p. 988-994."
Ethanol,Composite,7-Maxsorb-III-2-EG-1-binder,890,5.482,1.8,"El-Sharkawy, M., et al., Adsorption isotherms and kinetics of a mixture of Pentafluoroethane, 1, 1, 1, 2-Tetrafluoroethane and Difluoromethane (HFC-407C) onto granular activated carbon. Applied Thermal Engineering, 2016. 93: p. 988-994."
Ethanol,Phenol-resin,KOH4-PR,1430,5.897,2,"El-Sharkawy, I.I., et al., Adsorption of ethanol onto phenol resin based adsorbents for developing next generation cooling systems. International Journal of Heat and Mass Transfer, 2015. 81: p. 171-178."
Ethanol,Phenol-resin,KOH6-PR,1980,4.146,1.5,"El-Sharkawy, I.I., et al., Adsorption of ethanol onto phenol resin based adsorbents for developing next generation cooling systems. International Journal of Heat and Mass Transfer, 2015. 81: p. 171-178."
Propane,Carbon,MolecularSieve,60.148,18.23,2,"Grande, C.A., et al., Adsorption of propane and propylene onto carbon molecular sieve. Carbon, 2003. 41(13): p. 2533-2545."
Propane,Zeolite,5A-crystal,148.28,19.4,2.24,"Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92."
Propane,Zeolite,5A-pellets,112.64,18.2,2.47,"Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92."
Propylene,Carbon,MolecularSieve,70.098,21.23,2,"Grande, C.A., et al., Adsorption of propane and propylene onto carbon molecular sieve. Carbon, 2003. 41(13): p. 2533-2545."
Propylene,Zeolite,5A-crystal,157.5,23.4,2.28,"Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92."
Propylene,Zeolite,5A-pellets,113.82,23.4,2.13,"Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92."
Methanol,Carbon,AC-207C-Calgon,150,6843.6,1.72,"Zhao, Y., E. Hu, and A. Blazewicz, A comparison of three adsorption equations and sensitivity study of parameter uncertainty effects on adsorption refrigeration thermal performance estimation. Heat and Mass Transfer, 2012. 48(2): p. 217-226."
Methanol,Carbon,AC-207EA-Calgon ,280,6912.2,2.08,"Zhao, Y., E. Hu, and A. Blazewicz, A comparison of three adsorption equations and sensitivity study of parameter uncertainty effects on adsorption refrigeration thermal performance estimation. Heat and Mass Transfer, 2012. 48(2): p. 217-226."
Methanol,Carbon,AC-207EA-Calgon ,330,6571.2,1.655,"Wu, J.W., et al., Characterizations of activated carbon methanol adsorption pair including the heat of adsorptions. Journal of Chemical & Engineering Data, 2015. 60(6): p. 1727-1731."
Methanol,Carbon,AC-WS-480-Calgon,270,5654.2,1.78,"Zhao, Y., E. Hu, and A. Blazewicz, A comparison of three adsorption equations and sensitivity study of parameter uncertainty effects on adsorption refrigeration thermal performance estimation. Heat and Mass Transfer, 2012. 48(2): p. 217-226."
Methanol,Carbon,AC-WS-480-Calgon,490,4776.8,1.65,"Wu, J.W., et al., Characterizations of activated carbon methanol adsorption pair including the heat of adsorptions. Journal of Chemical & Engineering Data, 2015. 60(6): p. 1727-1731."
Methanol,Carbon,AC-Tsurumi-coal-HC-20C,705,4790.8,2,"El-Sharkawy, I., et al., Study on adsorption of methanol onto carbon based adsorbents. international journal of refrigeration, 2009. 32(7): p. 1579-1586."
