Refrigerant,Adsorbent,adsorbent-subtype,Y0,k,n,Literature
Ammonia,Carbon,AC-LM001,270,4.3772,1.1965,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-LM127,362.9,3.6571,0.94,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-LM128,333.3,3.6962,0.99,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-LM279,383.7,4.2434,1,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-SDS,245,5.6069,2.1389,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-KOH,624.5,4.613,1.0554,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-208C,307.7,4.439,1.187,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-607C,347.5,3.5943,1.05,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-C119,285.2,3.8615,1,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
Ammonia,Carbon,AC-SRD-1352-2,839.2,5.0775,0.8529,"Tamainot-Telto, Z., et al., Carbon ammonia pairs for adsorption refrigeration applications: ice making, air conditioning and heat pumping. international journal of refrigeration, 2009. 32(6): p. 1212-1229."
