Refrigerant,Absorbent,adsorbent-subtype,w0,w1,r,Literature
HFC32,Lubricant,PEC-9,839,-158,14.93,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC32,Lubricant,PEB-6,680,-209,7.77,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC32,Lubricant,PEB-8,775,-177,11.58,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC32,Lubricant,Pentaerythritol-Tetrapentanoate-Ester,806,-197,9.78,"Wahlström, Å. and L. Vamling, Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a pentaerythritol tetrapentanoate ester. Journal of Chemical & Engineering Data, 1999. 44(4): p. 823-828."
HFC125,Lubricant,PEC-9,997,-208,6.91,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC125,Lubricant,PEB-6,993,-271,3.94,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC125,Lubricant,PEB-8,998,-238,5.81,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC125,Lubricant,Pentaerythritol-Tetrapentanoate-Ester,967,-262,3.47,"Wahlström, Å. and L. Vamling, Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a pentaerythritol tetrapentanoate ester. Journal of Chemical & Engineering Data, 1999. 44(4): p. 823-828."
HFC134a,Lubricant,PEC-9,938,-176,10.41,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC134a,Lubricant,PEB-6,973,-233,7.03,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC134a,Lubricant,PEB-8,808,-203,6.94,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC134a,Lubricant,Pentaerythritol-Tetrapentanoate-Ester,878,-221,6.17,"Wahlström, Å. and L. Vamling, Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a pentaerythritol tetrapentanoate ester. Journal of Chemical & Engineering Data, 1999. 44(4): p. 823-828."
HFC143a,Lubricant,PEC-9,817,-152,7.79,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC143a,Lubricant,PEB-6,772,-199,4.31,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC143a,Lubricant,PEB-8,703,-162,5.76,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC143a,Lubricant,Pentaerythritol-Tetrapentanoate-Ester,849,-183,5.28,"Wahlström, Å. and L. Vamling, Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a pentaerythritol tetrapentanoate ester. Journal of Chemical & Engineering Data, 1999. 44(4): p. 823-828."
HFC152a,Lubricant,PEC-9,654,-152,10.03,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC152a,Lubricant,PEB-6,491,-205,5.19,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC152a,Lubricant,PEB-8,707,-169,9.76,"Wahlström, Å. and L. Vamling, Solubility of HFCs in pentaerythritol tetraalkyl esters. Journal of Chemical & Engineering Data, 2000. 45(1): p. 97-103."
HFC152a,Lubricant,Pentaerythritol-Tetrapentanoate-Ester,482,-204,4.62,"Wahlström, Å. and L. Vamling, Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a pentaerythritol tetrapentanoate ester. Journal of Chemical & Engineering Data, 1999. 44(4): p. 823-828."
