Refrigerant,Absorbent,adsorbent-subtype,kij,kij_2,t_crit_s,p_crit_s,w_s,eos,k1_r,k1_s,Literature
CO2,IL,[C4mim][NTf2],0.0493,0.0512,2.765,1077,0.3004,10,0,0,"Manic, M.S., et al., High-pressure solubilities of carbon dioxide in ionic liquids based on bis (trifluoromethylsulfonyl) imide and chloride. The Journal of Supercritical Fluids, 2012. 65: p. 1-10"
CO2,IL,[C10mim][NTf2],0.0056,0.0625,1.867,800,0.5741,10,0,0,"Manic, M.S., et al., High-pressure solubilities of carbon dioxide in ionic liquids based on bis (trifluoromethylsulfonyl) imide and chloride. The Journal of Supercritical Fluids, 2012. 65: p. 1-10"
CO2,IL,[Pyrr4-1][NTf2],0.00526,0.0568,2.425,1093.1,0.3467,10,0,0,"Manic, M.S., et al., High-pressure solubilities of carbon dioxide in ionic liquids based on bis (trifluoromethylsulfonyl) imide and chloride. The Journal of Supercritical Fluids, 2012. 65: p. 1-10"
CO2,IL,[N4-1-1-1][NTf2],-0.0006,-0.0018,2.588,1079.6,0.3334,10,0,0,"Manic, M.S., et al., High-pressure solubilities of carbon dioxide in ionic liquids based on bis (trifluoromethylsulfonyl) imide and chloride. The Journal of Supercritical Fluids, 2012. 65: p. 1-10"
CO2,IL,[N1-8-8-8][NTf2],-0.0008,0.0147,1.064,750.6,0.9962,10,0,0,"Manic, M.S., et al., High-pressure solubilities of carbon dioxide in ionic liquids based on bis (trifluoromethylsulfonyl) imide and chloride. The Journal of Supercritical Fluids, 2012. 65: p. 1-10"
CO2,IL,[P6-6-6-14][NTf2],-0.0032,0.0488,0.795,805.5,0.7947,10,0,0,"Manic, M.S., et al., High-pressure solubilities of carbon dioxide in ionic liquids based on bis (trifluoromethylsulfonyl) imide and chloride. The Journal of Supercritical Fluids, 2012. 65: p. 1-10"
CO2,IL,[P6-6-6-14][Cl],0.0912,0.1111,0.851,803.9,0.8915,10,0,0,"Manic, M.S., et al., High-pressure solubilities of carbon dioxide in ionic liquids based on bis (trifluoromethylsulfonyl) imide and chloride. The Journal of Supercritical Fluids, 2012. 65: p. 1-10"
HFC125,Lubricant,BAB-15,0.1645,0,0,0,0,0,-0.1331,-0.0502,"Takigawa, K., S.I. Sandler, and A. Yokozeki, Solubility and viscosity of refrigerant/lubricant mixtures: hydrofluorocarbon/alkylbenzene systems. International journal of refrigeration, 2002. 25(8): p. 1014-1024."
HFC125,Lubricant,BAB-32,0.1837,0,0,0,0,0,-0.0986,-0.0502,"Takigawa, K., S.I. Sandler, and A. Yokozeki, Solubility and viscosity of refrigerant/lubricant mixtures: hydrofluorocarbon/alkylbenzene systems. International journal of refrigeration, 2002. 25(8): p. 1014-1024."
HFC134a,Lubricant,BAB-15,0.1496,0,0,0,0,0,-0.1331,-0.0077,"Takigawa, K., S.I. Sandler, and A. Yokozeki, Solubility and viscosity of refrigerant/lubricant mixtures: hydrofluorocarbon/alkylbenzene systems. International journal of refrigeration, 2002. 25(8): p. 1014-1024."
HFC134a,Lubricant,BAB-32,0.1598,0,0,0,0,0,-0.0986,-0.0077,"Takigawa, K., S.I. Sandler, and A. Yokozeki, Solubility and viscosity of refrigerant/lubricant mixtures: hydrofluorocarbon/alkylbenzene systems. International journal of refrigeration, 2002. 25(8): p. 1014-1024."
HFC143a,Lubricant,BAB-15,0.1293,0,0,0,0,0,-0.1331,-0.0399,"Takigawa, K., S.I. Sandler, and A. Yokozeki, Solubility and viscosity of refrigerant/lubricant mixtures: hydrofluorocarbon/alkylbenzene systems. International journal of refrigeration, 2002. 25(8): p. 1014-1024."
HFC143a,Lubricant,BAB-32,0.138,0,0,0,0,0,-0.0986,-0.0399,"Takigawa, K., S.I. Sandler, and A. Yokozeki, Solubility and viscosity of refrigerant/lubricant mixtures: hydrofluorocarbon/alkylbenzene systems. International journal of refrigeration, 2002. 25(8): p. 1014-1024."
HFC32,Lubricant,BAB-15,0.1339,0,0,0,0,0,-0.1331,-0.0499,"Takigawa, K., S.I. Sandler, and A. Yokozeki, Solubility and viscosity of refrigerant/lubricant mixtures: hydrofluorocarbon/alkylbenzene systems. International journal of refrigeration, 2002. 25(8): p. 1014-1024."
HFC32,Lubricant,BAB-32,0.1457,0,0,0,0,0,-0.0986,-0.0499,"Takigawa, K., S.I. Sandler, and A. Yokozeki, Solubility and viscosity of refrigerant/lubricant mixtures: hydrofluorocarbon/alkylbenzene systems. International journal of refrigeration, 2002. 25(8): p. 1014-1024."
