Refrigerant,Adsorbent,a0,a1,a2,a3,a4,b0,b1,b2,b3,b4,literature
H2O,LiBr/CH3COOK 2:1,0,6.95,-1.64,,,,,,,,
,,1,-1.33E-02,1.83E-03,,,,,,,,
,,2,-9.02E-06,-2.52E-06,,,,,,,,
,LiBr/CH3CH(OH)COONa 2:1,0,6.77,-1.64,,,,,,,,
,,1,5.11E-03,5.26E-04,,,,,,,,
,,2,-2.20E-04,-5.79E-07,,,,,,,,
,LiBr/H2N(CH2)2OH 3.5:1,0,1.23E+02,-3.83E+01,,,,,,,,
,,1,-7.18812,2.25982,,,,,,,,
,,2,1.66E-01,-5.17E-02,,,,,,,,
,,3,-1.69E-03,5.20E-04,,,,,,,,
,,4,6.41E-06,-1.96E-06,,,,,,,,
,LiBr/HO(CH2)3OH 3.5:1,0,-2.43E+02,8.22E+01,,,,,,,,
,,1,1.66E+01,-5.58505,,,,,,,,
,,2,-4.09E-01,1.38E-01,,,,,,,,
,,3,4.42E-03,-1.49E-03,,,,,,,,
,,4,-1.77E-05,5.96E-06,,,,,,,,
,"LiBr/LiNO3-LiI-LiCl 5:1:1:2 by mol, 435:69:134:84 by mass",0,-1.28E+03,4.37E+02,,,,,,,,
,,1,8.76E+01,-3.01E+01,,,,,,,,
,,2,-2.233375,7.69E-01,,,,,,,,
,,3,2.52E-02,-8.70E-03,,,,,,,,
,,4,-1.06E-04,3.67E-05,,,,,,,,
,LiBr/LiI-OH(CH2)3OH 174:57:15,0,9.537943,-2.181261,,,,,,,,
,,1,-1.30E-01,2.79E-02,,,,,,,,
,,2,1.92E-03,-3.60E-04,,,,,,,,
,,3,-7.93E-06,2.40E-08,,,,,,,,
,LiBr/LiNO3 348:69,0,3.55978,-6.70E-01,,,,,,,,
,,1,6.30E-01,-1.02E-01,,,,,,,,
,,2,-2.17E-02,3.55E-03,,,,,,,,
,,3,3.14E-04,-5.13E-05,,,,,,,,
,,4,-1.63E-06,2.44E-07,,,,,,,,
TFE [CF₃CH₂OH],NMP,0,6.82E+00,-2.08E+00,,,,,,,,
,[C5H9NO],1,5.75E-03,1.54E-03,,,,,,,,
,,2,1.10E-04,2.58E-05,,,,,,,,
,,3,-1.85E-06,7.33E-07,,,,,,,,
,,4,7.88E-09,-7.20E-06,,,,,,,,
