refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;bo;c;m;n0;q_star_R;r;w_s;validity-pressure-min;validity-pressure-max;validity-temperature-min;validity-temperature-max;validity-loading-min;validity-loading-max;error-are;error-rmse;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3; in 1/Pa; in K; in -; in -; in K; in -; in kg/kg;in Pa;in Pa;in K;in K;in kg/kg;in kg/kg;in %;in kg/kg;-
co2;zeolite;5a;ads;;;;;;;;;;;;6.76E-11;-2.00E+01;1.00E+00;2.70E-01;5.63E+03;-1.00E+00;6.43E-01;5.3;108000;228.15;448.15;0.0044009;0.21388374;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
co2;zeolite;13x;ads;;;;;;;;;;;;4.88E-07;3.81E+01;1.00E+00;7.49E-02;2.99E+03;-1.00E+00;5.87E-01;98.2;42500;228.15;448.15;0.007085449;0.21608419;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
co2;silicaGel;;ads;;;;;;;;;;;;5.16E-10;2.39E+02;1.00E+00;-3.05E-01;2.33E+03;-1.00E+00;6.54E-01;67.2;97900;283.15;328.15;5.28E-05;0.05633152;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
co2;carbon;acf-a-20;ads;;0.00000216;;;;2000;1.03;;;;;2.55E-10;0.00E+00;1.00E+00;6.96E-01;2.31E+03;-1.00E+00;1.56E+00;60000;9488000;263.15;343.15;0.118;0.992;;0.034;Saha, B.B., et al., Carbon dioxide adsorption isotherms on activated carbons. Journal of Chemical & Engineering Data, 2011. 56(5): p. 1974-1981.
co2;carbon;maxsorb-iii;ads;;0.000002;;;;3150;1.07;;;;;1.17E-10;0.00E+00;1.00E+00;6.64E-01;2.45E+03;-1.00E+00;3.06E+00;97000;10164000;263.15;343.15;0.121;1.719;;0.0377;Saha, B.B., et al., Carbon dioxide adsorption isotherms on activated carbons. Journal of Chemical & Engineering Data, 2011. 56(5): p. 1974-1981.
water;zeolite;5a;ads;;;;;;;;;;;;2.41E-10;-4.20E+00;1.00E+00;3.97E-01;6.85E+03;-1.00E+00;2.72E-01;14.7;1660;273.15;373.15;0.047200034;0.248610864;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
water;zeolite;13x;ads;;;;;;;;;;;;4.71E-13;-5.11E+01;1.00E+00;3.55E-01;9.96E+03;-1.00E+00;4.23E-01;10.5;1830;273.15;373.15;0.04828095;0.257618504;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
water;silicaGel;;ads;;;;;;;;;;;;2.79E-08;2.21E+01;1.00E+00;-1.19E-03;1.09E+03;-1.00E+00;1.14E+05;13.9;5250;273.15;348.15;0.001927635;0.34229032;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
water;silicaGel;fuji davison type rd;ads;;;;;;;;;;;;1.62E-12;0.00E+00;1.00E+00;1.20E+01;5.84E+03;-1.00E+00;4.50E-01;;;;;;;;;Chua H.T., et al., Transient modeling of a two-bed silica gel-water adsorption chiller. International Journal of Heat and Mass Transfer, 2004(47): p. 659-69.
