refrigerant;sorbent;sorbent-subtype;type;r;w_0 / k_Boltzmann;w_1;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in -;in K;in K;in K;in K;-;-
R-32;lubricant;PEC9;abs;1.4930000000E+01;8.3900000000E+02;-1.5800000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-32;lubricant;PEB6;abs;7.7700000000E+00;6.8000000000E+02;-2.0900000000E+02;323.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-32;lubricant;PEB8;abs;1.1580000000E+01;7.7500000000E+02;-1.7700000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-32;pentaerythritol tetrapentanoate ester;;abs;9.7800000000E+00;8.0600000000E+02;-1.9700000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (1999): Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a Pentaerythritol Tetrapentanoate Ester. In: J. Chem. Eng. Data 44 (4), S. 823–828. DOI: 10.1021/je980235e."
R-125;lubricant;PEC9;abs;6.9100000000E+00;9.9700000000E+02;-2.0800000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-125;lubricant;PEB6;abs;3.9400000000E+00;9.9300000000E+02;-2.7100000000E+02;323.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-125;lubricant;PEB8;abs;5.8100000000E+00;9.9800000000E+02;-2.3800000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-125;pentaerythritol tetrapentanoate ester;;abs;3.4700000000E+00;9.6700000000E+02;-2.6200000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (1999): Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a Pentaerythritol Tetrapentanoate Ester. In: J. Chem. Eng. Data 44 (4), S. 823–828. DOI: 10.1021/je980235e."
R-134a;lubricant;PEC9;abs;1.0410000000E+01;9.3800000000E+02;-1.7600000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-134a;lubricant;PEB6;abs;7.0300000000E+00;9.7300000000E+02;-2.3300000000E+02;323.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-134a;lubricant;PEB8;abs;6.9400000000E+00;8.0800000000E+02;-2.0300000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-134a;pentaerythritol tetrapentanoate ester;;abs;6.1700000000E+00;8.7800000000E+02;-2.2100000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (1999): Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a Pentaerythritol Tetrapentanoate Ester. In: J. Chem. Eng. Data 44 (4), S. 823–828. DOI: 10.1021/je980235e."
R-143a;lubricant;PEC9;abs;7.7900000000E+00;8.1700000000E+02;-1.5200000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-143a;lubricant;PEB6;abs;4.3100000000E+00;7.7200000000E+02;-1.9900000000E+02;323.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-143a;lubricant;PEB8;abs;5.7600000000E+00;7.0300000000E+02;-1.6200000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-143a;pentaerythritol tetrapentanoate ester;;abs;5.2800000000E+00;8.4900000000E+02;-1.8300000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (1999): Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a Pentaerythritol Tetrapentanoate Ester. In: J. Chem. Eng. Data 44 (4), S. 823–828. DOI: 10.1021/je980235e."
R-152a;lubricant;PEC9;abs;1.0030000000E+01;6.5400000000E+02;-1.5200000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-152a;lubricant;PEB6;abs;5.1900000000E+00;4.9100000000E+02;-2.0500000000E+02;323.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-152a;lubricant;PEB8;abs;9.7600000000E+00;7.0700000000E+02;-1.6900000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-152a;pentaerythritol tetrapentanoate ester;;abs;4.6200000000E+00;4.8200000000E+02;-2.0400000000E+02;303.15;363.15;;"Wahlström, Åsa; Vamling, Lennart (1999): Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a Pentaerythritol Tetrapentanoate Ester. In: J. Chem. Eng. Data 44 (4), S. 823–828. DOI: 10.1021/je980235e."
