refrigerant;sorbent;sorbent-subtype;type;d_g_12;d_g_21;alpha_12;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in J/mol;in J/mol;in -;in K;in K;-;-
Water;ionic liquid;[EMIM][OAc];abs;2.8938000000E+04;-2.5691000000E+04;1.0243000000E-01;303.15;353.15;;"Römich, Christiane; Merkel, Nina C.; Valbonesi, Alessandro; Schaber, Karlheinz; Sauer, Sven; Schubert, Thomas J. S. (2012): Thermodynamic Properties of Binary Mixtures of Water and Room-Temperature Ionic Liquids. Vapor Pressures, Heat Capacities, Densities, and Viscosities of Water + 1-Ethyl-3-methylimidazolium Acetate and Water + Diethylmethylammonium Methane Sulfonate. In: J. Chem. Eng. Data 57 (8), S. 2258–2264. DOI: 10.1021/je300132e."
Water;ionic liquid;[DEMA][OMs];abs;-1.0514000000E+03;-5.0399000000E+03;7.0862000000E-01;303.15;353.15;;"Römich, Christiane; Merkel, Nina C.; Valbonesi, Alessandro; Schaber, Karlheinz; Sauer, Sven; Schubert, Thomas J. S. (2012): Thermodynamic Properties of Binary Mixtures of Water and Room-Temperature Ionic Liquids. Vapor Pressures, Heat Capacities, Densities, and Viscosities of Water + 1-Ethyl-3-methylimidazolium Acetate and Water + Diethylmethylammonium Methane Sulfonate. In: J. Chem. Eng. Data 57 (8), S. 2258–2264. DOI: 10.1021/je300132e."
Water;ionic liquid;[EMIM]+[(CF3SO2)2N]-;abs;1.2913079200E+04;-1.4583750400E+03;2.8000000000E-01;353.15;353.15;;"Döker, Michael; Gmehling, Jürgen (2005): Measurement and prediction of vapor–liquid equilibria of ternary systems containing ionic liquids. In: Fluid Phase Equilibria 227 (2), S. 255–266. DOI: 10.1016/j.fluid.2004.11.010."
Water;ionic liquid;[BMIM]+[(CF3SO2)2N]-;abs;1.9435516800E+04;-3.4898325600E+02;3.0000000000E-01;353.15;353.15;;"Döker, Michael; Gmehling, Jürgen (2005): Measurement and prediction of vapor–liquid equilibria of ternary systems containing ionic liquids. In: Fluid Phase Equilibria 227 (2), S. 255–266. DOI: 10.1016/j.fluid.2004.11.010."
Acetone;ionic liquid;[EMIM]+[(CF3SO2)2N]-;abs;4.6124416000E+03;-4.9220576000E+03;4.7000000000E-01;353.15;353.15;;"Döker, Michael; Gmehling, Jürgen (2005): Measurement and prediction of vapor–liquid equilibria of ternary systems containing ionic liquids. In: Fluid Phase Equilibria 227 (2), S. 255–266. DOI: 10.1016/j.fluid.2004.11.010."
Acetone;ionic liquid;[BMIM]+[(CF3SO2)2N]-;abs;4.0938766400E+03;-5.0894176000E+03;4.7000000000E-01;353.15;353.15;;"Döker, Michael; Gmehling, Jürgen (2005): Measurement and prediction of vapor–liquid equilibria of ternary systems containing ionic liquids. In: Fluid Phase Equilibria 227 (2), S. 255–266. DOI: 10.1016/j.fluid.2004.11.010."
2-Propanol;ionic liquid;[EMIM]+[(CF3SO2)2N]-;abs;7.7956288000E+03;-1.0038671200E+03;6.0000000000E-01;353.15;353.15;;"Döker, Michael; Gmehling, Jürgen (2005): Measurement and prediction of vapor–liquid equilibria of ternary systems containing ionic liquids. In: Fluid Phase Equilibria 227 (2), S. 255–266. DOI: 10.1016/j.fluid.2004.11.010."
2-Propanol;ionic liquid;[BMIM]+[(CF3SO2)2N]-;abs;7.0203336000E+03;-8.5479120000E+02;8.0000000000E-01;353.15;353.15;;"Döker, Michael; Gmehling, Jürgen (2005): Measurement and prediction of vapor–liquid equilibria of ternary systems containing ionic liquids. In: Fluid Phase Equilibria 227 (2), S. 255–266. DOI: 10.1016/j.fluid.2004.11.010."
R-1234ze(E);lubricant;POE;abs;-3.0827000000E+03;7.5675000000E+03;5.0000000000E-01;273.15;353.15;;Bock, Jessica (2015): VAPOR-LIQUID EQUILIBRIA OF A LOW GWP REFRIGERANT, R-1234ZE(E), MIXED WITH A POE LUBRICANT. PhD Thesis. University of Illinois at Urbana-Champaign, Illinois.
R-12;naphthenic;;abs;-1.1050000000E+03;4.5710000000E+03;5.0000000000E-01;228.15;394.15;;Grebner, J. J. (1992): The Effects of Oil on the Thermodynamic Properties of Dichlorodifluoromethane (R-12) and Tetrafluoroethane (R-134a). Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-13. Online verfügbar unter http://hdl.handle.net/2142/9702.
R-12;paraffinic;;abs;-2.0590000000E+03;6.9810000000E+03;5.0000000000E-01;255.15;394.15;;Grebner, J. J. (1992): The Effects of Oil on the Thermodynamic Properties of Dichlorodifluoromethane (R-12) and Tetrafluoroethane (R-134a). Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-13. Online verfügbar unter http://hdl.handle.net/2142/9702.
R-22;lubricant;POE;abs;-4.7090000000E+03;-9.6700000000E+02;5.0000000000E-01;253.15;333.15;;"Martz, W. L.; Jacobi, A. M. (1994): Refrigerant-Oil Mixtures and Local Composition Modeling. Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-68. Online verfügbar unter http://hdl.handle.net/2142/10986."
R-22;lubricant;POE Castrol SW 46;abs;2.8180000000E+03;-4.6200000000E+03;5.0000000000E-01;253.15;343.15;;"Fleming, J. S.; Yan, Y. (2003): The prediction of vapour–liquid equilibrium behaviour of HFC blend–oil mixtures from commonly available data. In: International Journal of Refrigeration 26 (3), S. 266–274. DOI: 10.1016/S0140-7007(02)00130-5."
R-134a;lubricant;PAG;abs;-4.7880000000E+03;-3.5900000000E+02;5.0000000000E-01;263.15;343.15;;"Martz, W. L.; Jacobi, A. M. (1994): Refrigerant-Oil Mixtures and Local Composition Modeling. Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-68. Online verfügbar unter http://hdl.handle.net/2142/10986."
R-134a;lubricant;POE;abs;-2.5280000000E+03;7.4210000000E+03;5.0000000000E-01;255.15;394.15;;Grebner, J. J. (1992): The Effects of Oil on the Thermodynamic Properties of Dichlorodifluoromethane (R-12) and Tetrafluoroethane (R-134a). Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-13. Online verfügbar unter http://hdl.handle.net/2142/9702.
R-134a;lubricant;POE;abs;-2.7840000000E+03;9.4980000000E+03;5.0000000000E-01;263.15;343.15;;"Martz, W. L.; Jacobi, A. M. (1994): Refrigerant-Oil Mixtures and Local Composition Modeling. Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-68. Online verfügbar unter http://hdl.handle.net/2142/10986."
R-134a;lubricant;POE Castrol SW 46;abs;3.9360000000E+03;-1.2400000000E+03;5.0000000000E-01;253.15;343.15;;"Fleming, J. S.; Yan, Y. (2003): The prediction of vapour–liquid equilibrium behaviour of HFC blend–oil mixtures from commonly available data. In: International Journal of Refrigeration 26 (3), S. 266–274. DOI: 10.1016/S0140-7007(02)00130-5."
R-125;lubricant;POE;abs;-3.3630000000E+03;8.4810000000E+03;5.0000000000E-01;243.15;333.15;;"Burton, C.; Jacobi, A. M.; Mehendale, S. S. (1999): Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester. Non-ideality and local composition modeling. In: International Journal of Refrigeration 22 (6), S. 458–471. DOI: 10.1016/S0140-7007(99)00012-2."
R-32;lubricant;POE;abs;-2.8521000000E+03;2.0000000000E+04;5.0000000000E-01;;;;"Burton, C.; Jacobi, A. M.; Mehendale, S. S. (1999): Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester. Non-ideality and local composition modeling. In: International Journal of Refrigeration 22 (6), S. 458–471. DOI: 10.1016/S0140-7007(99)00012-2."
R-32;R-125;;abs;2.3750000000E+02;-3.9810000000E+02;5.0000000000E-01;;;;"Burton, C.; Jacobi, A. M.; Mehendale, S. S. (1999): Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester. Non-ideality and local composition modeling. In: International Journal of Refrigeration 22 (6), S. 458–471. DOI: 10.1016/S0140-7007(99)00012-2."
