refrigerant;sorbent;sorbent-subtype;type;a_12;a_21;b_12;b_21;alpha_12;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in J/mol;in J/mol;in J/mol/K;in J/mol/K;in -;in K;in K;-;-
Benzene;inoic liquid;[MMIM]+[(CFH3SO2)2N]-;abs;-6.0994400000E+04;-5.3191000000E+03;-3.4092000000E+02;1.5100000000E+01;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Benzene;inoic liquid;[EMIM]+[(CF3SO2)2N]-;abs;4.5120300000E+04;8.4220000000E+02;-4.5370000000E+01;-3.3200000000E+00;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Benzene;inoic liquid;[BMIM]+[(CF3SO2)2N]-;abs;1.5691260000E+05;7.4160000000E+02;-2.5186000000E+02;-3.9600000000E+00;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Benzene;inoic liquid;[EMIM]+[C2H5OSO3]-;abs;2.8115200000E+04;-1.5951000000E+03;5.2920000000E+01;-1.4200000000E+00;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Benzene;inoic liquid;[C2H5NH]+[C2H5OC2H4OSO3]-;abs;1.0539500000E+04;-1.7195000000E+03;0.0000000000E+00;0.0000000000E+00;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Cyclohexane;inoic liquid;[MMIM]+[(CFH3SO2)2N]-;abs;3.7481000000E+03;7.3249000000E+03;-2.5340000000E+01;-1.3320000000E+01;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Cyclohexane;inoic liquid;[EMIM]+[(CF3SO2)2N]-;abs;3.6714600000E+04;9.9864000000E+03;6.0000000000E+00;-1.7360000000E+01;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Cyclohexane;inoic liquid;[BMIM]+[(CF3SO2)2N]-;abs;6.3911000000E+03;4.6915000000E+03;-1.9290000000E+01;-1.2830000000E+01;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Cyclohexane;inoic liquid;[EMIM]+[C2H5OSO3]-;abs;-2.6129000000E+03;1.3608900000E+04;-5.7740000000E+01;-2.5190000000E+01;2.0000000000E-01;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
