refrigerant;sorbent;sorbent-subtype;type;M;p_crit;T_crit;rho_crit;p_trip;T_trip;omega;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in kg/mol;in Pa;in K;in kg/m3;in Pa;in Pa;in -;in K;in K;-;-
1-Butene;dum_sorb;dum_subtype;refrig;5.6106000000E-02;4.0051000000E+06;4.1929000000E+02;2.3789000000E+02;-1.0000000000E+00;8.7800000000E+01;1.9200000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
2-Propanol;dum_sorb;dum_subtype;refrig;6.0095000000E-02;4.9000000000E+06;5.0900000000E+02;1.3236784141E+01;-1.0000000000E+00;1.8490000000E+02;6.6687000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Acetone;dum_sorb;dum_subtype;refrig;5.8079000000E-02;4.6924000000E+06;5.0810000000E+02;2.7297000000E+02;-1.0000000000E+00;1.7850000000E+02;3.0710000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Ammonia;dum_sorb;dum_subtype;refrig;1.7031000000E-02;1.1363000000E+07;4.0556000000E+02;2.3325000000E+02;-1.0000000000E+00;1.9549000000E+02;2.5600000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Argon;dum_sorb;dum_subtype;refrig;3.9948000000E-02;4.8630000000E+06;1.5069000000E+02;5.3560000000E+02;-1.0000000000E+00;8.3806000000E+01;-2.1900000000E-03;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Benzene;dum_sorb;dum_subtype;refrig;7.8112000000E-02;4.9073000000E+06;5.6202000000E+02;3.0471000000E+02;-1.0000000000E+00;2.7867000000E+02;2.1100000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Butane;dum_sorb;dum_subtype;refrig;5.8122000000E-02;3.7960000000E+06;4.2513000000E+02;2.2800000000E+02;-1.0000000000E+00;1.3490000000E+02;2.0100000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
CarbonDioxide;dum_sorb;dum_subtype;refrig;4.4018000000E-02;7.3773000000E+06;3.0413000000E+02;4.6760000000E+02;-1.0000000000E+00;2.1659000000E+02;2.2394000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Cyclohexane;dum_sorb;dum_subtype;refrig;8.4159000000E-02;4.0805000000E+06;5.5360000000E+02;2.7133000000E+02;-1.0000000000E+00;2.7986000000E+02;2.0960000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
