refrigerant;sorbent;sorbent-subtype;type;T_crit;rho_crit;flag;fac1;exp1;fac2;exp2;fac3;exp3;fac4;exp4;fac5;exp5;fac6;exp6;fac7;exp7;fac8;exp8;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in K;in kg/m3;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in K;in K;-;-
2-Propanol;dum_sorb;dum_subtype;refrig;5.0830000000E+02;2.7100000000E+02;-1.0000000000E+00;-3.5760000000E-02;3.0000000000E-03;-2.9550000000E-03;2.6000000000E-01;1.4458600000E+00;2.7000000000E-01;-2.5473100000E-01;2.0300000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.8490000000E+02;5.0830000000E+02;;"Scalabrin, G.; Stringari, P. (2009): A Fundamental Equation of State for 2-propanol (C3H8O) in the Extended Equation of State Format. In: Journal of Physical and Chemical Reference Data 38 (2), S. 127–170. DOI: 10.1063/1.3112608."
2-Propanol;dum_sorb;dum_subtype;refrig;5.0825000000E+02;2.7300000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;3.1718553114E+00;3.5000000000E-01;-2.7256201465E+00;6.6666666667E-01;3.5747443223E+00;1.0000000000E+00;-1.3960725275E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.8490000000E+02;5.0825000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Acetone;dum_sorb;dum_subtype;refrig;5.0810000000E+02;2.7400000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.9977445255E+00;3.5000000000E-01;7.6183211679E-01;6.6666666667E-01;-7.4364927007E-01;1.0000000000E+00;9.2698394161E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7850000000E+02;5.0810000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Ammonia;dum_sorb;dum_subtype;refrig;4.0550000000E+02;2.2500000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;2.3632235556E+00;3.5000000000E-01;-1.4001200000E-01;6.6666666667E-01;1.1426346667E+00;1.0000000000E+00;-2.8420311111E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9549000000E+02;4.0550000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Argon;dum_sorb;dum_subtype;refrig;1.5068700000E+02;5.3560000000E+02;-1.0000000000E+00;1.5004262000E+00;3.3400000000E-01;-3.1381290000E-01;6.6666666667E-01;8.6461622000E-02;2.3333333333E+00;-4.1477525000E-02;4.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.3806000000E+01;1.5068700000E+02;;"Tegeler, Ch.; Span, Roland; Wagner, Wolfgang (1999): A New Equation of State for Argon Covering the Fluid Region for Temperatures From the Melting Line to 700 K at Pressures up to 1000 MPa. In: Journal of Physical and Chemical Reference Data 28 (3), S. 779–850. DOI: 10.1063/1.556037."
Argon;dum_sorb;dum_subtype;refrig;1.5069000000E+02;5.3600000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.6705867537E+00;3.5000000000E-01;5.5557966418E-01;6.6666666667E-01;-2.9776305970E-02;1.0000000000E+00;2.2363544776E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.3806000000E+01;1.5069000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Benzene;dum_sorb;dum_subtype;refrig;5.6175000000E+02;3.0462900000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.9600182000E+00;3.5000000000E-01;1.0628812000E+00;1.0000000000E+00;-1.5856640000E+00;2.0000000000E+00;2.0926704000E+00;3.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.7867000000E+02;5.6175000000E+02;;Goodwin, Robert D. (1988): Benzene Thermophysical Properties from 279 to 900 K at Pressures to 1000 Bar. In: Journal of Physical and Chemical Reference Data 17 (4), S. 1541–1636. DOI: 10.1063/1.555813.
Benzene;dum_sorb;dum_subtype;refrig;5.6201000000E+02;3.0600000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.6419415033E+00;3.5000000000E-01;1.7372483660E+00;6.6666666667E-01;-2.1698905229E+00;1.0000000000E+00;1.5346238562E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.7867000000E+02;5.6201000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Butane;dum_sorb;dum_subtype;refrig;4.2512500000E+02;2.2800000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.9787451500E+00;3.4500000000E-01;8.5679951000E-01;1.0000000000E+00;-3.4187188700E-01;1.5000000000E+00;3.0433755800E-01;3.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3490000000E+02;4.2512500000E+02;;"Bücker, D.; Wagner, W. (2006): Reference Equations of State for the Thermodynamic Properties of Fluid Phase n-Butane and Isobutane. In: Journal of Physical and Chemical Reference Data 35 (2), S. 929–1019. DOI: 10.1063/1.1901687."
Butane;dum_sorb;dum_subtype;refrig;4.2513000000E+02;2.2800000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.8363973684E+00;3.5000000000E-01;1.0826464912E+00;6.6666666667E-01;-1.3931017544E+00;1.0000000000E+00;1.2056469298E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3490000000E+02;4.2513000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
CarbonDioxide;dum_sorb;dum_subtype;refrig;3.0412820000E+02;4.6760000000E+02;-1.0000000000E+00;1.9245108000E+00;3.4000000000E-01;-6.2385555000E-01;5.0000000000E-01;-3.2731127000E-01;1.6666666667E+00;3.9245142000E-01;1.8333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.1659000000E+02;3.0412820000E+02;;"Span, Roland; Wagner, Wolfgang (1996): A New Equation of State for Carbon Dioxide Covering the Fluid Region from the Triple‐Point Temperature to 1100 K at Pressures up to 800 MPa. In: Journal of Physical and Chemical Reference Data 25 (6), S. 1509–1596. DOI: 10.1063/1.555991."
CarbonDioxide;dum_sorb;dum_subtype;refrig;3.0413000000E+02;4.6800000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.9185314103E+00;3.5000000000E-01;3.6333547009E-01;6.6666666667E-01;3.6122136752E-01;1.0000000000E+00;8.1029487179E-02;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.1659000000E+02;3.0413000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
