refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;bo;c;m;n0;q_star_R;r;w_s;validity-pressure-min;validity-pressure-max;validity-temperature-min;validity-temperature-max;validity-loading-min;validity-loading-max;error-are;error-rmse;comment;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3; in 1/Pa; in K; in -; in -; in K; in -; in kg/kg;in Pa;in Pa;in K;in K;in kg/kg;in kg/kg;in %;in kg/kg;-;-
CarbonDioxide;zeolite pellet;5A;ads;;;;;;;;;;;;6.76100000000E-11;-2.00200000000E+01;1.00000000000E+00;2.70000000000E-01;5.62500000000E+03;-1.00000000000E+00;6.42795167135E-01;5.3;108000;228.15;448.15;0.0044009;0.21388374;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
CarbonDioxide;zeolite pellet;13X;ads;;;;;;;;;;;;4.88400000000E-07;3.80500000000E+01;1.00000000000E+00;7.48700000000E-02;2.99100000000E+03;-1.00000000000E+00;5.86523004709E-01;98.2;42500;228.15;448.15;0.007085449;0.21608419;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
CarbonDioxide;silica gel pellet;;ads;;;;;;;;;;;;5.16400000000E-10;2.38600000000E+02;1.00000000000E+00;-3.05300000000E-01;2.33000000000E+03;-1.00000000000E+00;6.54347290860E-01;67.2;97900;283.15;328.15;5.28108E-05;0.05633152;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
CarbonDioxide;activated carbon fiber;A-20;ads;;0.00000216;;;;2000;1.03;;;;;2.55000000000E-10;0.00000000000E+00;1.00000000000E+00;6.96000000000E-01;2.31283738747E+03;-1.00000000000E+00;1.56000000000E+00;60000;9488000;263.15;343.15;0.118;0.992;;;;"Saha, Bidyut Baran; Jribi, Skander; Koyama, Shigeru; El-Sharkawy, Ibrahim I. (2011): Carbon Dioxide Adsorption Isotherms on Activated Carbons. In: J. Chem. Eng. Data 56 (5), S. 1974–1981. DOI: 10.1021/je100973t."
CarbonDioxide;activated carbon powder;Maxsorb III;ads;;0.000002;;;;3150;1.07;;;;;1.17000000000E-10;0.00000000000E+00;1.00000000000E+00;6.64000000000E-01;2.44994787222E+03;-1.00000000000E+00;3.06000000000E+00;97000;10164000;263.15;343.15;0.121;1.719;;;;"Saha, Bidyut Baran; Jribi, Skander; Koyama, Shigeru; El-Sharkawy, Ibrahim I. (2011): Carbon Dioxide Adsorption Isotherms on Activated Carbons. In: J. Chem. Eng. Data 56 (5), S. 1974–1981. DOI: 10.1021/je100973t."
Water;zeolite pellet;5A;ads;;;;;;;;;;;;4.71400000000E-13;-5.11400000000E+01;1.00000000000E+00;3.54800000000E-01;9.95500000000E+03;-1.00000000000E+00;4.22675003818E-01;14.7;1660;273.15;373.15;0.047200034;0.248610864;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
Water;zeolite pellet;13X;ads;;;;;;;;;;;;2.40800000000E-10;-4.19900000000E+00;1.00000000000E+00;3.97400000000E-01;6.85200000000E+03;-1.00000000000E+00;2.71875114286E-01;10.5;1830;273.15;373.15;0.04828095;0.257618504;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
Water;silica gel pellet;;ads;;;;;;;;;;;;2.78700000000E-08;2.21300000000E+01;1.00000000000E+00;-1.19000000000E-03;1.09300000000E+03;-1.00000000000E+00;1.14219590097E+05;13.9;5250;273.15;348.15;0.001927635;0.34229032;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
Water;silica gel pellet;Fuji RD;ads;;;;;;;;;;;;1.62222222222E-12;0.00000000000E+00;1.00000000000E+00;1.20000000000E+01;5.83503123029E+03;-1.00000000000E+00;4.50000000000E-01;;;;;;;;;;"Chua, H. T.; Ng, K. C.; Wang, W.; Yap, C.; Wang, X. L. (2004): Transient modeling of a two-bed silica gel–water adsorption chiller. In: International Journal of Heat and Mass Transfer 47 (4), S. 659–669. DOI: 10.1016/j.ijheatmasstransfer.2003.08.010."
