refrigerant;sorbent;sorbent-subtype;type;a_12;a_21;b_12;b_21;q_1;q_2;r_1;r_2;z;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in J/mol;in J/mol;in J/mol/K;in J/mol/K;in -;in -;in -;in -;in -;in K;in K;-;-
Benzene;ionic liquid;[MMIM]+[(CH3SO2)2N]-;abs;5.3472000000E+03;1.9423000000E+03;-6.7500000000E+00;2.3000000000E+00;8.0800000000E+00;3.1880000000E+00;9.2600000000E+00;2.4000000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Benzene;ionic liquid;[EMIM]+[(CF3SO2)2N]-;abs;7.5180000000E+02;-8.1670000000E+02;7.0300000000E+00;-1.4900000000E+00;8.7800000000E+00;3.1880000000E+00;9.8900000000E+00;2.4000000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Benzene;ionic liquid;[BMIM]+[(CF3SO2)2N]-;abs;0.0000000000E+00;-7.4900000000E+02;1.2940000000E+01;-3.5000000000E+00;1.0200000000E+01;3.1880000000E+00;1.1160000000E+01;2.4000000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Benzene;ionic liquid;[EMIM]+[C2H5OSO3]-;abs;8.8902000000E+03;-3.9430000000E+03;-2.1450000000E+01;1.1830000000E+01;7.2100000000E+00;3.1880000000E+00;7.9400000000E+00;2.4000000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Benzene;ionic liquid;[C2H5NH]+[C2H5OC2H4OSO3]-;abs;6.9650000000E+02;1.1493000000E+03;0.0000000000E+00;0.0000000000E+00;6.9600000000E+00;3.1880000000E+00;8.7800000000E+00;2.4000000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Cyclohexane;ionic liquid;[MMIM]+[(CH3SO2)2N]-;abs;1.1264000000E+03;1.2169000000E+03;-3.3000000000E+00;4.1500000000E+00;8.0800000000E+00;4.0640000000E+00;9.2600000000E+00;3.2400000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Cyclohexane;ionic liquid;[EMIM]+[(CF3SO2)2N]-;abs;1.9088660000E+05;1.2685000000E+03;-5.1744000000E+02;-4.9700000000E+00;8.7800000000E+00;4.0640000000E+00;9.8900000000E+00;3.2400000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Cyclohexane;ionic liquid;[BMIM]+[(CF3SO2)2N]-;abs;-1.2028000000E+03;2.7436000000E+03;3.4100000000E+00;-2.3500000000E+00;1.0200000000E+01;4.0640000000E+00;1.1160000000E+01;3.2400000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Cyclohexane;ionic liquid;[EMIM]+[C2H5OSO3]-;abs;-3.4328100000E+04;4.0164000000E+03;2.9326000000E+02;-1.0750000000E+01;7.2100000000E+00;4.0640000000E+00;7.9400000000E+00;3.2400000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Hexane;ionic liquid;[EMIM]+[(CF3SO2)2N]-;abs;-2.4517000000E+03;5.6997000000E+03;3.2300000000E+00;-4.7800000000E+00;8.7800000000E+00;4.5000000000E+00;9.8900000000E+00;3.8560000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
Toluene;ionic liquid;[C2H5NH]+[C2H5OC2H4OSO3]-;abs;2.0950000000E+02;1.6277000000E+03;0.0000000000E+00;0.0000000000E+00;6.9600000000E+00;3.9230000000E+00;8.7800000000E+00;2.9680000000E+00;6.0000000000E+00;353.15;353.15;;"Kato, Ryo; Krummen, Michael; Gmehling, Jürgen (2004): Measurement and correlation of vapor–liquid equilibria and excess enthalpies of binary systems containing ionic liquids and hydrocarbons. In: Fluid Phase Equilibria 224 (1), S. 47–54. DOI: 10.1016/j.fluid.2004.05.009."
