refrigerant;sorbent;sorbent-subtype;type;a;b;c;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in -;in K;in K;in K;in K;-;-
1-Butene;dum_sorb;dum_subtype;refrig;4.2469600000E+00;1.0992070000E+03;-8.2560000000E+00;1.9570000000E+02;2.6940000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
2-Propanol;dum_sorb;dum_subtype;refrig;4.5779500000E+00;1.2214230000E+03;-8.7474000000E+01;3.9510000000E+02;5.0824000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
2-Propanol;dum_sorb;dum_subtype;refrig;4.8610000000E+00;1.3574270000E+03;-7.5814000000E+01;3.2992000000E+02;3.6241000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Acetone;dum_sorb;dum_subtype;refrig;4.4244800000E+00;1.3122530000E+03;-3.2445000000E+01;2.5916000000E+02;5.0760000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Ammonia;dum_sorb;dum_subtype;refrig;4.8688600000E+00;1.1139280000E+03;-1.0409000000E+01;2.3960000000E+02;3.7150000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Ammonia;dum_sorb;dum_subtype;refrig;3.1875700000E+00;5.0671300000E+02;-8.0780000000E+01;1.6400000000E+02;2.3960000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Argon;dum_sorb;dum_subtype;refrig;3.2955500000E+00;2.1524000000E+02;-2.2233000000E+01;8.3780000000E+01;1.5072000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Argon;dum_sorb;dum_subtype;refrig;4.4690300000E+00;4.8101200000E+02;2.2156000000E+01;1.1440000000E+02;1.5031000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Argon;dum_sorb;dum_subtype;refrig;4.9717100000E+00;6.5898200000E+02;4.9819000000E+01;1.2933000000E+02;1.4740000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
