refrigerant;sorbent;sorbent-subtype;type;T_crit;p_crit;fac1;exp1;fac2;exp2;fac3;exp3;fac4;exp4;fac5;exp5;fac6;exp6;fac7;exp7;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in K;in Pa;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in -;in K;in K;-;-
1-Butene;dum_sorb;dum_subtype;refrig;4.1929000000E+02;4.0060000000E+06;-7.0789700000E+00;1.0000000000E+00;1.8781900000E+00;1.5000000000E+00;-2.0225600000E+00;2.5000000000E+00;-2.6484500000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.7800000000E+01;4.1929000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
2-Propanol;dum_sorb;dum_subtype;refrig;5.0830000000E+02;4.7640000000E+06;-1.8991300000E+01;1.1000000000E+00;1.2898600000E+01;1.2700000000E+00;-1.6749900000E+01;2.8900000000E+00;2.0432600000E+01;4.5100000000E+00;-1.5383200000E+01;7.3400000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.8490000000E+02;5.0830000000E+02;;"Scalabrin, G.; Stringari, P. (2009): A Fundamental Equation of State for 2-propanol (C3H8O) in the Extended Equation of State Format. In: Journal of Physical and Chemical Reference Data 38 (2), S. 127–170. DOI: 10.1063/1.3112608."
2-Propanol;dum_sorb;dum_subtype;refrig;5.0825000000E+02;4.7620000000E+06;-8.4473700000E+00;1.0000000000E+00;1.1740200000E+00;1.5000000000E+00;-6.9787600000E+00;2.5000000000E+00;6.9248000000E-01;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.8490000000E+02;5.0825000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Acetone;dum_sorb;dum_subtype;refrig;5.0810000000E+02;4.6920000000E+06;-7.6703300000E+00;1.0000000000E+00;1.9646900000E+00;1.5000000000E+00;-2.4438000000E+00;2.5000000000E+00;-2.9016200000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7850000000E+02;5.0810000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Ammonia;dum_sorb;dum_subtype;refrig;4.0550000000E+02;1.1359000000E+07;-7.3027400000E+00;1.0000000000E+00;1.6463800000E+00;1.5000000000E+00;-2.0160600000E+00;2.5000000000E+00;-1.9688400000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9549000000E+02;4.0550000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Argon;dum_sorb;dum_subtype;refrig;1.5069000000E+02;4.8630000000E+06;-5.9280100000E+00;1.0000000000E+00;1.2198200000E+00;1.5000000000E+00;-5.3967000000E-01;2.5000000000E+00;-1.5231200000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.3806000000E+01;1.5069000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Benzene;dum_sorb;dum_subtype;refrig;5.6201000000E+02;4.9010000000E+06;-7.1145100000E+00;1.0000000000E+00;1.8398100000E+00;1.5000000000E+00;-2.2515800000E+00;2.5000000000E+00;-3.1517900000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.7867000000E+02;5.6201000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Butane;dum_sorb;dum_subtype;refrig;4.2512500000E+02;3.7960000000E+06;-7.1761690300E+00;1.0000000000E+00;2.5363533600E+00;1.5000000000E+00;-2.0753286900E+00;2.0000000000E+00;-2.8224113000E+00;4.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3490000000E+02;4.2512500000E+02;;"Bücker, D.; Wagner, W. (2006): Reference Equations of State for the Thermodynamic Properties of Fluid Phase n-Butane and Isobutane. In: Journal of Physical and Chemical Reference Data 35 (2), S. 929–1019. DOI: 10.1063/1.1901687."
Butane;dum_sorb;dum_subtype;refrig;4.2513000000E+02;3.7960000000E+06;-7.0856200000E+00;1.0000000000E+00;1.7933500000E+00;1.5000000000E+00;-2.0000300000E+00;2.5000000000E+00;-2.3197500000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3490000000E+02;4.2513000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
