refrigerant;sorbent;sorbent-subtype;type;measurements-procedure;measurements-type;pressures;temperatures;loadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;comment;literature
-;-;-;-;-;-;in Pa;in K;in kg/kg or mol/mol;-;in Pa;in %;in K;in %;in kg/kg or mol/mol;in %;-;-
Water;LiBr/CH3COOK;ratio 2/1;abs;;isosteres;1600,1800,2100,2700,3400,4500,5600,7200,8700,1700,1900,2400,3100,4100,5300,6800,8400,11300,1900,2200,3000,3700,4800,6200,7800,9300,11700,2000,2500,3200,4400,5600,7100,9100,11800,14600;293.15,298.15,303.15,308.15,313.15,318.15,323.15,328.15,333.15,293.15,298.15,303.15,308.15,313.15,318.15,323.15,328.15,333.15,293.15,298.15,303.15,308.15,313.15,318.15,323.15,328.15,333.15,293.15,298.15,303.15,308.15,313.15,318.15,323.15,328.15,333.15;0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2;table;100;;0.01;;1.00E-07;;;"Lucas, Antonio de; Donate, Marina; Rodríguez, Juan F. (2006): Vapour pressures, densities, and viscosities of the (water+lithium bromide+potassium acetate) system and (water+lithium bromide+sodium lactate) system. In: The Journal of Chemical Thermodynamics 38 (2), S. 123–129. DOI: 10.1016/j.jct.2005.04.007."
Water;Libr/CH3CH(OH)COONa;ratio 2/1;abs;;isosteres;1600,1800,2400,3100,4200,5100,6400,7800,1900,2300,3100,4300,5200,7300,9000,11300,2100,2800,3700,5000,6700,8500,10900,12700,2500,3500,4300,5700,7400,9200,11500,14900;298.15,303.15,308.15,313.15,318.15,323.15,328.15,333.15,298.15,303.15,308.15,313.15,318.15,323.15,328.15,333.15,298.15,303.15,308.15,313.15,318.15,323.15,328.15,333.15,298.15,303.15,308.15,313.15,318.15,323.15,328.15,333.15;0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2;table;100;;0.01;;1.00E-07;;;"Lucas, Antonio de; Donate, Marina; Rodríguez, Juan F. (2006): Vapour pressures, densities, and viscosities of the (water+lithium bromide+potassium acetate) system and (water+lithium bromide+sodium lactate) system. In: The Journal of Chemical Thermodynamics 38 (2), S. 123–129. DOI: 10.1016/j.jct.2005.04.007."
Water;LiBr/H2N(CH2)2OH ;ratio 3/5/1;abs;;isosteres;5920,9439,17180,25380,38580,3573,10190,15890,29530,39280,4566,8099,14710,22420,39880,3540,10190,13810,18560,33730,5340,13410,19900,29930,41830,6913,7766,13270,26620,35340,3993,4540,10230,20760,31080;325.15,334.55,347.35,356.75,367.75,319.75,341.15,351.15,366.55,374.35,332.55,344.15,357.35,367.85,383.45,336.15,358.05,365.15,372.55,388.25,354.95,375.65,385.45,396.95,405.55,371.65,374.05,386.45,404.55,412.45,368.95,371.75,390.55,408.15,418.35;0.5,0.5,0.5,0.5,0.5,0.55,0.55,0.55,0.55,0.55,0.6,0.6,0.6,0.6,0.6,0.648,0.648,0.648,0.648,0.648,0.699,0.699,0.699,0.699,0.699,0.747,0.747,0.747,0.747,0.747,0.793,0.793,0.793,0.793,0.793;table;;;;0.4;;;;"Kim, Jin-Soo; Park, Young; Lee, Huen (1996): Densities and Viscosities of the Water + Lithium Bromide + Ethanolamine System. In: J. Chem. Eng. Data 41 (4), S. 678–680. DOI: 10.1021/je9503259."
Water;LiBr/HO(CH2)3OH ;ratio 3/5/1;abs;;isosteres;5030,1430,18670,23770,33790,4450,7680,11360,16730,38910,5130,9100,14120,17100,27570,4890,11970,18220,23960,33470,8470,12930,17030,33310,44840,3970,8740,14380,20130,26150;320.25,336.15,347.05,352.85,361.65,335.45,346.95,355.75,364.65,387.05,358.05,370.55,380.85,385.65,398.55,330.75,348.95,358.55,365.35,373.95,359.55,369.25,375.75,393.45,401.65,363.95,380.95,392.65,401.25,408.45;0.465,0.465,0.465,0.465,0.465,0.614,0.614,0.614,0.614,0.614,0.704,0.704,0.704,0.704,0.704,0.562,0.562,0.562,0.562,0.562,0.661,0.661,0.661,0.661,0.661,0.75,0.75,0.75,0.75,0.75;table;;;0.2;;;;;"Park, Young; Kim, Jin-Soo; Lee, Huen (1997): Physical properties of the lithium bromide + 1,3-propanediol + water system. In: International Journal of Refrigeration 20 (5), S. 319–325. DOI: 10.1016/S0140-7007(97)00021-2."
Water;LiBr/LiNO3/LiI/LiCl;ratio 5/1/1/2;abs;;isosteres;4210,6780,12350,19450,28020,39680,54780,70780,90190,98920,6150,8770,13850,18780,23350,27660,33780,40930,50610,61080,72670,84420,98640,7130,12240,16940,24910,33320,43080,64170,81510,99440,7130,19830,28620,40240,54290,71990,99370,3810,6420,19110,28280,40120,54270,7610,10020,14510,29150,39150,51350,64050,77150,99190,2750,11000,16020,20360,29120,38860,52090,65510,9470,15730,26930,41330;330.13,338.54,350.71,360.54,369.44,377.93,386.47,394.12,401.43,405.01,354.4,361.06,370.08,377.93,383.18,387.59,393.21,398.13,404.26,409.72,415.18,420.26,425.53,342.71,353.53,360.78,368.13,375.37,382.16,394.1,400.66,408.09,362.34,384.94,394.37,403.71,411.82,419.52,430.68,334.21,345.16,367.54,376.18,384.73,394.12,370.17,375.43,383.85,401.38,407.95,415.2,422.49,427.75,434.88,32.36,361.84,369.37,374.7,383.05,390.54,399.04,404.83,383.37,394.92,409.05,421.3;0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.55,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.7,0.7,0.7,0.7;table;;;;;;;;"Koo, Kee-Kahb; Lee, Hyung-Rae; Jeong, Siyoung; Oh, Young-Sam; Park, Dal-Ryung; Baek, Young-Soon (1998): Solubilities, Vapor Pressures, Densities, and Viscosities of the (Water + Lithium Bromide + Lithium Iodide + Lithium Chloride) System. In: J. Chem. Eng. Data 43 (5), S. 722–725. DOI: 10.1021/je980063l."
Water;LiBr/LiI-OH(CH2)3OH;massRatio 174/57/15;abs;;isosteres;10650,18940,26940,36240,48670,8648,13790,22080,30090,41950,52530,13370,18510,22940,31950,42240,12220,16580,23230,42950,55320,54100,13790,16870,23800,33230,41100,11790,24370,29660,36810,46670,56680;339.75,353.25,361.95,369.75,377.95,342.85,353.75,365.25,372.95,382.05,388.85,362.55,370.85,376.25,384.95,392.25,373.85,380.35,388.75,404.15,413.25,399.45,388.95,394.25,403.05,411.45,417.95,399.95,417.25,424.35,430.65,438.15,444.35;0.55,0.55,0.55,0.55,0.55,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65,0.65,0.65,0.7,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8;table;;;;;;;;"Kim, Jin-Soo; Lee, Huen (2001): Solubilities, Vapor Pressures, Densities, and Viscosities of the LiBr + LiI + HO(CH 2 ) 3 OH + H 2 O System. In: J. Chem. Eng. Data 46 (1), S. 79–83. DOI: 10.1021/je000154u."
Water;LiBr/LiNO3;massRatio 348/69;abs;;isosteres;1793,2438,3086,1421,1936,2577,461,560,697,1121,1505,1990,1817,2413,3049,349,453,592,1404,1888,2515,343,445,579,1456,1830,2385,424,524,636,424,504,613;294.25,299.25,303.15,312.65,318.05,323.25,278.35,281.15,284.25,318.15,323.25,328.25,299.15,303.95,307.95,300.15,304.05,308.25,302.15,307.05,312.15,303.05,307.05,311.15,326.85,330.95,335.95,284.15,287.15,289.95,293.05,295.65,298.65;0.304,0.304,0.304,0.554,0.554,0.554,0.401,0.401,0.401,0.604,0.604,0.604,0.402,0.402,0.402,0.607,0.607,0.607,0.478,0.478,0.478,0.622,0.622,0.622,0.622,0.622,0.622,0.481,0.481,0.481,0.551,0.551,0.551;table;;;;;;;;"Iyoki, Shigeki; Yamanaka, Ryousuke; Uemura, Tadashi (1993): Physical and thermal properties of the water-lithium bromide-lithium nitrate system. In: International Journal of Refrigeration 16 (3), S. 191–200. DOI: 10.1016/0140-7007(93)90048-D."
Water;ionic liquid;[EMIM]+[(CF3SO2)2N]-;abs;;isotherms;3193,6453,9543,15296,20152,27386,34289,40748,45529,47367,47382,47395,47403,47408,47412,47410,47409,47413,47415,47414,47422;353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15;0.0289,0.0598,0.089,0.1448,0.1933,0.27,0.3513,0.4388,0.5202,0.5972,0.6609,0.7166,0.7682,0.8097,0.8434,0.8703,0.8919,0.9095,0.9238,0.9354,0.945;table;;;;;;;;"Döker, Michael; Gmehling, Jürgen (2005): Measurement and prediction of vapor–liquid equilibria of ternary systems containing ionic liquids. In: Fluid Phase Equilibria 227 (2), S. 255–266. DOI: 10.1016/j.fluid.2004.11.010."
Water;ionic liquid;[BMIM]+[(CF3SO2)2N]-;abs;;isotherms;5317,10175,20070,26995,34495,43678,46310,46660,46821,46940,47001,47048,47075,47091,47107,47121,47135,47145,47152,47156;353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15;0.049,0.0969,0.192,0.2636,0.3415,0.4577,0.5626,0.6572,0.7333,0.7932,0.8391,0.8739,0.9022,0.9229,0.9386,0.9504,0.9595,0.9666,0.9723,0.9767;table;;;;;;;;"Döker, Michael; Gmehling, Jürgen (2005): Measurement and prediction of vapor–liquid equilibria of ternary systems containing ionic liquids. In: Fluid Phase Equilibria 227 (2), S. 255–266. DOI: 10.1016/j.fluid.2004.11.010."
