refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;measurements-procedure;measurements-type;pressures;temperatures;loadings;adsorptionPotentials;volumetricLoadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;uncertainty-adsorptionPotential-abs;uncertainty-adsorptionPotential-rel;uncertainty-volumetricLoading-abs;uncertainty-volumetricLoading-rel;comment;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3;-;-;in Pa;in K;in kg/kg;in J/mol;in m3/kg;-;in Pa;in %;in K;in %;in kg/kg;in %;in J/mol;in %;in m3/kg;in %;-;-
Ethanol;silica gel composite;19 wt.% LiBr;ads;;0.0000344;0.7-0.85;;;181;0.73;0.73;;;;gravimetric;isobars;3540,3540,3540,3540,3540,3540,3540,2550,2550,2550,2550,2550,2550,2550,1800,1800,1800,1800,1800,1800,1800,1260,1260,1260,1260,1260,1260,1260,1800,1800,1800,1800,1800,1800;303.118,308.107,318.038,333.147,353.15,373.203,393.161,303.116,308.105,318.131,333.146,353.103,373.203,393.255,303.21,308.105,318.13,333.145,353.103,373.061,393.114,303.162,308.104,318.13,333.098,353.056,373.25,393.067,303.069,318.131,333.099,353.197,372.967,393.02;0.57547,0.49085,0.39744,0.26001,0.07857,0.02627,0.01994,0.37736,0.3353,0.2502,0.15289,0.03699,0.02382,0.01848,0.35388,0.30595,0.2233,0.10984,0.02525,0.02333,0.01945,0.30447,0.26095,0.18857,0.06484,0.02085,0.02186,0.01945,0.35437,0.28004,0.18077,0.04188,0.02431,0.01945;;;figure;420;;;;;;;;;;;"Brancato, V.; Frazzica, A.; Sapienza, A.; Gordeeva, L.; Freni, A. (2015): Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. In: Energy 84, S. 177–185. DOI: 10.1016/j.energy.2015.02.077."
Ethanol;activated carbon;SRD 1352/3;ads;;0.00000112;0.5-2;;;2613;0.65;;;;;gravimetric;isobars;3540,3540,3540,3540,3540,3540,3540,2550,2550,2550,2550,2550,2550,2550,1800,1800,1800,1800,1800,1800,1800,1260,1260,1260,1260,1260,1260,1260,2550,2550,2550,2550,2550,2550,1800,1800,1800,1800,1800,1800;303.212,308.25,318.1,333.172,353.093,373.129,393.017,303.1,308.137,318.135,333.095,353.129,373.128,393.054,303.137,308.173,318.134,333.131,353.091,373.091,393.017,303.136,308.134,318.095,333.129,353.09,373.09,393.091,303.138,318.137,333.023,353.094,373.13,393.167,303.286,318.135,333.095,353.167,373.203,393.054;0.51764,0.51493,0.47486,0.35424,0.17992,0.09316,0.05662,0.48923,0.47212,0.40519,0.27484,0.13594,0.06826,0.04455,0.48184,0.45188,0.37328,0.25071,0.11259,0.06475,0.0535,0.44798,0.39194,0.30128,0.1721,0.08262,0.04374,0.02782,0.51492,0.47564,0.37992,0.22234,0.12741,0.08036,0.48184,0.41454,0.28263,0.141,0.08927,0.06051;;;figure;420;;;;;;;;;;;"Brancato, V.; Frazzica, A.; Sapienza, A.; Gordeeva, L.; Freni, A. (2015): Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. In: Energy 84, S. 177–185. DOI: 10.1016/j.energy.2015.02.077."
Ethanol;activated carbon;FR20;ads;;0.00000118;0.01;;;2180;0.75;;;;;gravimetric;isobars;3540,3540,3540,3540,3540,3540,3540,2550,2550,2550,2550,2550,2550,2550,1800,1800,1800,1800,1800,1800,1800,1260,1260,1260,1260,1260,1260,1260,1800,1800,1800,1800,1800,1800,1260,1260,1260,1260,1260,1260;303.129,308.191,318.165,333.126,353.186,373.208,393.156,303.129,308.153,318.165,333.126,353.11,373.133,393.156,303.241,308.191,318.202,333.238,353.11,373.208,393.156,303.241,308.153,318.164,333.125,353.147,373.095,393.155,303.091,318.127,333.088,353.148,373.208,393.156,303.166,318.202,333.162,353.072,373.17,393.193;0.54707,0.54277,0.51581,0.46384,0.34936,0.22745,0.12938,0.50058,0.48964,0.46033,0.40094,0.28138,0.17276,0.10516,0.46972,0.45839,0.42908,0.36422,0.24622,0.13838,0.08719,0.40331,0.38611,0.32125,0.22084,0.12628,0.06454,0.02038,0.46933,0.45018,0.4111,0.28959,0.17198,0.12001,0.40174,0.35641,0.26928,0.17785,0.09775,0.05203;;;figure;420;;;;;;;;;;;"Brancato, V.; Frazzica, A.; Sapienza, A.; Gordeeva, L.; Freni, A. (2015): Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. In: Energy 84, S. 177–185. DOI: 10.1016/j.energy.2015.02.077."
Ethanol;activated carbon;AP4-60;ads;;0.000000128;4;;;1428;0.47;;;;;gravimetric;isobars;3540,3540,3540,3540,3540,3540,3540,2550,2550,2550,2550,2550,2550,2550,1800,1800,1800,1800,1800,1800,1800,1260,1260,1260,1260,1260,1260,1260,3540,3540,3540,3540,3540,3540,1260,1260,1260,1260,1260,1260;303.083,308.112,318.142,333.083,353.113,373.083,393.082,303.113,308.113,318.083,333.143,353.143,373.113,393.113,303.143,308.143,318.144,333.085,353.144,373.084,393.173,303.084,308.114,318.055,333.055,353.055,373.055,393.083,303.112,318.142,333.172,353.112,373.142,393.201,303.114,318.114,333.114,352.995,373.114,393.173;0.33722,0.3205,0.29356,0.23691,0.16138,0.11028,0.06631,0.3038,0.29111,0.25581,0.19421,0.12085,0.06542,0.03166,0.28462,0.25955,0.21962,0.14719,0.07475,0.03541,0.01588,0.26668,0.24594,0.19703,0.13048,0.0667,0.02799,0.01557,0.3431,0.30779,0.25702,0.18365,0.12916,0.09384,0.2741,0.21714,0.15028,0.08681,0.05459,0.01866;;;figure;420;;;;;;;;;;;"Brancato, V.; Frazzica, A.; Sapienza, A.; Gordeeva, L.; Freni, A. (2015): Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. In: Energy 84, S. 177–185. DOI: 10.1016/j.energy.2015.02.077."
Ethanol;activated carbon;ATO;ads;;0.00000118;0.25-0.6;;;1745;0.64;;;;;gravimetric;isobars;3540,3540,3540,3540,3540,3540,3540,2550,2550,2550,2550,2550,2550,2550,1800,1800,1800,1800,1800,1800,1800,1260,1260,1260,1260,1260,1260,1260,3540,3540,3540,3540,3540,3540,1260,1260,1260,1260,1260;303.177,308.191,318.143,333.184,353.201,373.18,393.122,303.139,308.191,318.105,333.183,353.125,373.142,393.122,303.097,308.094,318.237,333.197,353.213,373.14,393.127,303.187,308.184,318.177,333.137,353.213,373.17,393.067,303.177,318.18,333.109,353.163,373.067,393.197,303.336,318.147,333.137,353.273,373.14;0.42683,0.41523,0.38933,0.31934,0.19406,0.10435,0.06299,0.40904,0.40247,0.36612,0.27138,0.15693,0.08695,0.05448,0.39841,0.38276,0.33856,0.24189,0.12864,0.07095,0.04335,0.3849,0.36557,0.3137,0.21917,0.11973,0.07034,0.0501,0.42683,0.41679,0.37078,0.28688,0.18364,0.09355,0.38183,0.36036,0.30267,0.18819,0.10441;;;figure;420;;;;;;;;;;;"Brancato, V.; Frazzica, A.; Sapienza, A.; Gordeeva, L.; Freni, A. (2015): Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. In: Energy 84, S. 177–185. DOI: 10.1016/j.energy.2015.02.077."
Ethanol;activated carbon;COC-L1200;ads;;0.00000118;0.42-1;;;1412;0.49;;;;;gravimetric;isobars;3540,3540,3540,3540,3540,3540,3540,2550,2550,2550,2550,2550,2550,2550,1800,1800,1800,1800,1800,1800,1800,1260,1260,1260,1260,1260,1260,1260,3540,3540,3540,3540,3540,3540,1260,1260,1260,1260,1260,1260;303.214,308.136,318.187,333.16,353.143,373.156,393.169,303.302,308.136,318.186,333.159,353.142,373.214,393.169,303.184,308.194,318.186,333.13,353.201,373.155,393.198,303.154,308.165,318.127,333.129,353.171,373.184,393.227,303.184,318.128,333.19,353.174,373.215,393.169,303.154,318.157,333.189,353.171,373.273,393.256;0.31477,0.30904,0.29485,0.26648,0.19069,0.12275,0.08109,0.30662,0.29847,0.27522,0.24081,0.16653,0.10161,0.06901,0.29816,0.29031,0.26556,0.22117,0.14055,0.08138,0.0518,0.29695,0.28608,0.24774,0.18614,0.11518,0.0699,0.04213,0.31507,0.30452,0.28218,0.23146,0.14994,0.08955,0.29876,0.26858,0.22299,0.1481,0.0844,0.04062;;;figure;420;;;;;;;;;;;"Brancato, V.; Frazzica, A.; Sapienza, A.; Gordeeva, L.; Freni, A. (2015): Ethanol adsorption onto carbonaceous and composite adsorbents for adsorptive cooling system. In: Energy 84, S. 177–185. DOI: 10.1016/j.energy.2015.02.077."
Ethanol;activated carbon powder;Maxsorb III;ads;;;;;;3045;1.7;;;;;gravimetric;isotherms;617.2,1027.1,1437,2084.2,2537.3,3120,4048,5213.6,6249.8,7501.8,8430,1739.5,5516.1,8905.1,12445.3,16330.8,1415.9,2732.5,4308,5883.6,7049.1,8883.8,11797.8,14690.4,17216,20238.1,23627.2,4912.7,13892.1,23605.8,31959.9,3531.4,7049.8,10525.1,14669.5,18209.6,22505.2,29045.9,37076.1,44631.4;303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,313.15,313.15,313.15,313.15,313.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,333.15,333.15,333.15,333.15,343.15,343.15,343.15,343.15,343.15,343.15,343.15,343.15,343.15;0.14203,0.28457,0.46462,0.71124,0.84815,0.96912,1.08259,1.14167,1.167,1.19138,1.20639,0.25925,0.95694,1.10324,1.14827,1.18391,0.14673,0.2827,0.46838,0.64468,0.75252,0.89413,1.03386,1.10232,1.13047,1.15204,1.17175,0.29021,0.83788,1.06485,1.12021,0.14673,0.28741,0.43839,0.60251,0.74881,0.86323,0.98047,1.06396,1.10056;;;figure;;;;;;;;;;;;"Uddin, Kutub; El-Sharkawy, Ibrahim I.; Miyazaki, Takahiko; Saha, Bidyut Baran; Koyama, Shigeru; Kil, Hyun-Sig et al. (2014): Adsorption characteristics of ethanol onto functional activated carbons with controlled oxygen content. In: Applied Thermal Engineering 72 (2), S. 211–218. DOI: 10.1016/j.applthermaleng.2014.03.062."
Ethanol;activated carbon powder;KOH-H2-treated Maxsorb III;ads;;;;;;2992;1.65;;;;;gravimetric;isotherms;984.1,1889.8,3142.6,4256.1,5717.5,1157.7,3107.5,5264.8,7526.4,9440,1783.9,5542.6,8917.7,12396.9,16328.4,2931.9,8917.2,14692.8,21164,27287.2,4880.2,13926.9,23529.5,31809.7,44369.2,7454.6,22276.5,38315.3,52962.1,68826.6,33270.1,55397.2,78150.2;293.15,293.15,293.15,293.15,293.15,303.15,303.15,303.15,303.15,303.15,313.15,313.15,313.15,313.15,313.15,323.15,323.15,323.15,323.15,323.15,333.15,333.15,333.15,333.15,333.15,343.15,343.15,343.15,343.15,343.15,353.15,353.15,353.15;0.45688,0.84565,0.974,1.03216,1.09586,0.33682,0.84009,0.96473,1.03766,1.08934,0.3008,0.79758,0.94252,1.00711,1.06431,0.29155,0.76059,0.92581,0.99683,1.05307,0.30907,0.72543,0.90721,0.96804,1.04359,0.29425,0.71792,0.90238,0.96774,1.02846,0.69283,0.87259,0.94521;;;figure;;;;;;;;;;;;"Uddin, Kutub; El-Sharkawy, Ibrahim I.; Miyazaki, Takahiko; Saha, Bidyut Baran; Koyama, Shigeru; Kil, Hyun-Sig et al. (2014): Adsorption characteristics of ethanol onto functional activated carbons with controlled oxygen content. In: Applied Thermal Engineering 72 (2), S. 211–218. DOI: 10.1016/j.applthermaleng.2014.03.062."
Ethanol;activated carbon powder;H2-treated Maxsorb III;ads;;;;;;3029;1.73;;;;;gravimetric;isotherms;932.7,3104.7,5221.6,7440.3,9400.9,1706.6,5529.6,8910.1,12444.4,2894,8882.6,14585,21137.3,4905.6,13989.7,23742.1,31764.8,7433.2,22295.5,38393.7,33284,55573.2;303.15,303.15,303.15,303.15,303.15,313.15,313.15,313.15,313.15,323.15,323.15,323.15,323.15,333.15,333.15,333.15,333.15,343.15,343.15,343.15,353.15,353.15;0.22339,0.92219,1.14091,1.18538,1.2117,0.23791,0.93944,1.1155,1.15725,0.33774,0.89043,1.10008,1.15091,0.2842,0.84234,1.08104,1.12733,0.24064,0.80968,1.07108,0.76432,1.04115;;;figure;;;;;;;;;;;;"Uddin, Kutub; El-Sharkawy, Ibrahim I.; Miyazaki, Takahiko; Saha, Bidyut Baran; Koyama, Shigeru; Kil, Hyun-Sig et al. (2014): Adsorption characteristics of ethanol onto functional activated carbons with controlled oxygen content. In: Applied Thermal Engineering 72 (2), S. 211–218. DOI: 10.1016/j.applthermaleng.2014.03.062."
