refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;measurements-procedure;measurements-type;pressures;temperatures;loadings;adsorptionPotentials;volumetricLoadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;uncertainty-adsorptionPotential-abs;uncertainty-adsorptionPotential-rel;uncertainty-volumetricLoading-abs;uncertainty-volumetricLoading-rel;comment;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3;-;-;in Pa;in K;in kg/kg;in J/mol;in m3/kg;-;in Pa;in %;in K;in %;in kg/kg;in %;in J/mol;in %;in m3/kg;in %;-;-
Methanol;activated carbon;G32-H;ads;;;;;;921;;0.77;370;;2174;gravimetric;isobars;3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,28000,28000,28000,28000,28000,28000,28000,28000;288.06,293.03,303.03,313.03,323.03,332.91,343.15,353.21,368.06,383.09,393.15,313.09,322.671,332.372,342.072,351.593,366.024,380.455,390.036;0.356737,0.341904,0.292213,0.211743,0.133498,0.078616,0.048949,0.033004,0.022621,0.016687,0.014091,0.374907,0.356366,0.337454,0.309642,0.262176,0.168727,0.096415,0.069345;;;figure;;;;;;;;;;;;"Henninger, S. K.; Schicktanz, M.; Hügenell, P.P.C.; Sievers, H.; Henning, H.-M. (2012): Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I. Thermophysical characterisation. In: International Journal of Refrigeration 35 (3), S. 543–553. DOI: 10.1016/j.ijrefrig.2011.10.004."
Methanol;activated carbon;Norit R 1 Extra;ads;;;;;;1045;;0.87;370;;2139;gravimetric;isobars;3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,28000,28000,28000,28000,28000,28000,28000,28000;288.117,292.717,303.047,313.151,322.954,333.133,343.237,352.964,368.045,382.974,393.003,313.076,322.577,332.304,341.88,351.531,365.933,380.184,389.761;0.33728,0.297949,0.206176,0.128454,0.077429,0.046077,0.030182,0.019437,0.012924,0.00922,0.007376,0.4137,0.365484,0.319143,0.253597,0.181962,0.104253,0.061671,0.045774;;;figure;;;;;;;;;;;;"Henninger, S. K.; Schicktanz, M.; Hügenell, P.P.C.; Sievers, H.; Henning, H.-M. (2012): Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I. Thermophysical characterisation. In: International Journal of Refrigeration 35 (3), S. 543–553. DOI: 10.1016/j.ijrefrig.2011.10.004."
Methanol;activated carbon;RÜTGERS CG1-3;ads;;;;;;1009;;0.84;420;;2259;gravimetric;isobars;3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,28500,28500,28500,28500,28500,28500,28500,28500;288.212,292.934,302.977,312.96,322.944,333.047,342.792,353.016,367.665,383.031,393.016,293.115,302.8,312.784,322.947,332.75,343.033,353.017,367.904,382.971,392.956,312.727,322.472,331.978,341.424,351.108,365.515,379.804,389.37;0.390162,0.338514,0.269768,0.185047,0.112957,0.060186,0.033422,0.020774,0.012578,0.007353,0.00548,0.388669,0.359304,0.312106,0.241502,0.16384,0.102523,0.06127,0.031525,0.021471,0.017369,0.429505,0.371534,0.343284,0.29943,0.241458,0.145956,0.080547,0.056384;;;figure;;;;;;;;;;;;"Henninger, S. K.; Schicktanz, M.; Hügenell, P.P.C.; Sievers, H.; Henning, H.-M. (2012): Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I. Thermophysical characterisation. In: International Journal of Refrigeration 35 (3), S. 543–553. DOI: 10.1016/j.ijrefrig.2011.10.004."
Methanol;activated carbon;Norit RX 3 Extra;ads;;;;;;1111;;0.75;370;;2169;gravimetric;isobars;3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,28000,28000,28000,28000,28000,28000,28000,28000;288.117,292.905,302.842,313.019,322.896,332.952,342.828,352.764,367.847,382.811,393.106,313.075,322.712,332.349,341.926,351.564,365.87,380.236,389.813;0.378252,0.346687,0.267585,0.181054,0.114954,0.068546,0.042199,0.026625,0.017755,0.0126,0.00966,0.424025,0.395447,0.360183,0.3082,0.243958,0.151123,0.087638,0.062776;;;figure;;;;;;;;;;;;"Henninger, S. K.; Schicktanz, M.; Hügenell, P.P.C.; Sievers, H.; Henning, H.-M. (2012): Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I. Thermophysical characterisation. In: International Journal of Refrigeration 35 (3), S. 543–553. DOI: 10.1016/j.ijrefrig.2011.10.004."
Methanol;activated carbon;CarboTech C40/1;ads;;;;;;1288;;0.82;380;;2142;gravimetric;isobars;3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,7710,7710,7710,7710,7710,7710,7710,7710,7710,7710,28320,28320,28320,28320,28320,28320,28320,28320,28320;288.067,292.861,302.927,312.993,322.937,333.061,342.946,353.129,367.985,383.14,393.144,293.157,302.683,313.049,323.055,333.12,343.065,353.069,368.044,383.14,393.144,312.924,322.57,332.036,341.742,351.149,365.527,379.845,383.139,389.429;0.376335,0.311712,0.188404,0.104078,0.056137,0.031956,0.019656,0.013295,0.006911,0.005724,0.006417,0.458359,0.378862,0.264092,0.157862,0.089872,0.052327,0.031858,0.01842,0.011664,0.009016,0.470143,0.425544,0.342707,0.246503,0.157726,0.078205,0.042495,0.039137,0.030939;;;figure;;;;;;;;;;;;"Henninger, S. K.; Schicktanz, M.; Hügenell, P.P.C.; Sievers, H.; Henning, H.-M. (2012): Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I. Thermophysical characterisation. In: International Journal of Refrigeration 35 (3), S. 543–553. DOI: 10.1016/j.ijrefrig.2011.10.004."
Methanol;activated carbon;CarboTech A35/1;ads;;;;;;1414;;0.88;330;;2191;gravimetric;isobars;2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,7130,7130,7130,7130,7130,7130,7130,7130,7130,27900,27900,27900,27900,27900,27900,27900,27900;288.099,293.085,302.995,312.899,323.159,332.877,343.133,353.149,367.842,293.265,298.07,303.234,313.079,323.099,332.996,343.132,353.148,363.104,368.021,288.025,293.066,303.035,313.125,322.971,333.052,343.01,353.147,368.141,312.613,322.334,331.941,341.608,351.094,365.496,379.892,389.489;0.433086,0.348699,0.204089,0.110037,0.060967,0.033457,0.020446,0.013383,0.007435,0.352045,0.275465,0.207435,0.112639,0.062454,0.037175,0.025651,0.017472,0.014126,0.011896,0.574349,0.537175,0.4,0.250186,0.144238,0.079926,0.047955,0.030855,0.019703,0.569517,0.513383,0.400743,0.275093,0.171747,0.082156,0.042379,0.029368;;;figure;;;;;;;;;;;;"Henninger, S. K.; Schicktanz, M.; Hügenell, P.P.C.; Sievers, H.; Henning, H.-M. (2012): Evaluation of methanol adsorption on activated carbons for thermally driven chillers part I. Thermophysical characterisation. In: International Journal of Refrigeration 35 (3), S. 543–553. DOI: 10.1016/j.ijrefrig.2011.10.004."
Methanol;activated carbon;207C;ads;;;;;;;;;;;;gravimetric;isosteres;4500,7500,11900,19250,30350,3250,4950,8050,13350,20300,4150,7900,12250,17500,27050,4450,6900,10650,18550,28500,3250,5050,7250,10300,16350;292.95,302.85,313.05,322.95,333.05,292.75,302.95,313.05,322.85,332.95,312.75,322.65,332.85,342.95,352.85,322.65,332.95,342.95,353.05,362.95,322.95,332.85,343.05,352.85,362.85;0.13,0.13,0.13,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.04,0.04;;;table;;;;;;;;;;;;"Zhao, Yongling; Hu, Eric; Blazewicz, Antoni (2012): A comparison of three adsorption equations and sensitivity study of parameter uncertainty effects on adsorption refrigeration thermal performance estimation. In: Heat Mass Transfer 48 (2), S. 217–226. DOI: 10.1007/s00231-011-0875-8."
Methanol;activated carbon;207EA;ads;;;;;;;;;;;;gravimetric;isosteres;4050,6650,10700,17600,26400,4450,7300,12450,18750,26500,5750,8950,13600,20750,29350,4150,7950,10200,17250,24250,3550,4850,6800,9250,14500;293.05,302.95,313.05,322.75,332.95,302.85,312.95,322.85,332.95,342.75,312.75,322.95,333.05,342.65,353.05,322.75,332.85,342.75,352.95,363.05,327.85,332.95,342.85,353.05,363.05;0.24,0.24,0.24,0.24,0.24,0.2,0.2,0.2,0.2,0.2,0.17,0.17,0.17,0.17,0.17,0.11,0.11,0.11,0.11,0.11,0.06,0.06,0.06,0.06,0.06;;;table;;;;;;;;;;;;"Zhao, Yongling; Hu, Eric; Blazewicz, Antoni (2012): A comparison of three adsorption equations and sensitivity study of parameter uncertainty effects on adsorption refrigeration thermal performance estimation. In: Heat Mass Transfer 48 (2), S. 217–226. DOI: 10.1007/s00231-011-0875-8."
Methanol;activated carbon;WS-480;ads;;;;;;;;;;;;gravimetric;isosteres;8520,14050,18150,22950,28800,5850,10050,16900,21300,26600,4900,8500,14050,18200,22700,3450,5700,9650,12950,15500,3000,5050,8600,13800,20450;302.85,313.05,317.95,322.85,327.95,302.95,313.05,322.85,328.05,332.85,308.05,317.85,327.95,333.05,338.05,312.75,322.95,332.85,337.65,342.85,322.95,332.75,342.85,352.95,363.05;0.22,0.22,0.22,0.22,0.22,0.19,0.19,0.19,0.19,0.19,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.05,0.05,0.05,0.05,0.05;;;table;;;;;;;;;;;;"Zhao, Yongling; Hu, Eric; Blazewicz, Antoni (2012): A comparison of three adsorption equations and sensitivity study of parameter uncertainty effects on adsorption refrigeration thermal performance estimation. In: Heat Mass Transfer 48 (2), S. 217–226. DOI: 10.1007/s00231-011-0875-8."
