refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;measurements-procedure;measurements-type;pressures;temperatures;loadings;adsorptionPotentials;volumetricLoadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;uncertainty-adsorptionPotential-abs;uncertainty-adsorptionPotential-rel;uncertainty-volumetricLoading-abs;uncertainty-volumetricLoading-rel;comment;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3;-;-;in Pa;in K;in kg/kg;in J/mol;in m3/kg;-;in Pa;in %;in K;in %;in kg/kg;in %;in J/mol;in %;in m3/kg;in %;-;-
Water;zeolite pellet;5A;ads;;;;;;;;;;;;volumetric;isotherms;49.3,171,293,14.7,36,107,269,833,1580,26.7,45.3,76,167,423,1230,24,119,212,372,739,1660,48,115,461,761,1270;273.15,273.15,273.15,298.15,298.15,298.15,298.15,298.15,298.15,323.15,323.15,323.15,323.15,323.15,323.15,348.15,348.15,348.15,348.15,348.15,348.15,373.15,373.15,373.15,373.15,373.15;0.196366552,0.223389472,0.248610864,0.134033683,0.155111561,0.176009286,0.196366552,0.223389472,0.248610864,0.092058081,0.112955806,0.134033683,0.154931408,0.175829133,0.196366552,0.057829049,0.091877928,0.112775653,0.133673378,0.15439095,0.174748216,0.047200034,0.057829049,0.091697775,0.112415347,0.132952766;;;table;;0.067 Pa < p < 13300 Pa: 0.25% reading | 6900 Pa < p < 103000 Pa: 0.25% full scale;0.3;;;;;;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
Water;zeolite pellet;13X;ads;;;;;;;;;;;;volumetric;isotherms;10.5,68.6,379,3.5,15,44,413,1830,3.5,13.8,27.8,74,85,280,1680,11.9,52,122,409,443,1020,47.7,214,487,1419,1520;273.15,273.15,273.15,298.15,298.15,298.15,298.15,298.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,348.15,348.15,348.15,348.15,348.15,348.15,373.15,373.15,373.15,373.15,373.15;0.183755856,0.217984888,0.257618504,0.1125955,0.151328352,0.18339555,0.217984888,0.255816976,0.04828095,0.083771052,0.1125955,0.151148199,0.15439095,0.183755856,0.217984888,0.04828095,0.083590899,0.1125955,0.150787894,0.154030644,0.181954328,0.04828095,0.083410746,0.112235194,0.14988713,0.152949727;;;table;;0.067 Pa < p < 13300 Pa: 0.25% reading | 6900 Pa < p < 103000 Pa: 0.25% full scale;0.3;;;;;;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
Water;silica gel pellet;;ads;;;;;;;;;;;;volumetric;isotherms;20,93.3,200,368,540,27.1,88.9,408,941,1600,2430,29.7,115,363,1880,13.9,113,466,1500;273.15,273.15,273.15,273.15,273.15,298.15,298.15,298.15,298.15,298.15,298.15,323.15,323.15,323.15,323.15,348.15,348.15,348.15,348.15;0.037435752,0.096003427,0.18916044,0.281038368,0.34229032,0.017654974,0.03729163,0.095661137,0.187358912,0.27923684,0.340488792,0.007782601,0.017600929,0.037111477,0.09458022,0.001927635,0.007692525,0.017240623,0.03603056;;;table;;0.067 Pa < p < 13300 Pa: 0.25% reading | 6900 Pa < p < 103000 Pa: 0.25% full scale;0.3;;;;;;;;;"Wang, Yu; LeVan, M. Douglas (2009): Adsorption Equilibrium of Carbon Dioxide and Water Vapor on Zeolites 5A and 13X and Silica Gel. Pure Components. In: J. Chem. Eng. Data 54 (10), S. 2839–2844. DOI: 10.1021/je800900a."
Water;silica gel pellet;Fuji A;ads;;;0.71;;;;;;;;;unknown;isobars;1215.00,1215.00,1215.00,1215.00,1215.00,1215.00,1215.00,1215.00;293.012,298.304,323.283,333.176,353.173,373.114,373.157,393.292;0.260395,0.214896,0.0612531,0.0523259,0.0332424,0.0305742,0.0178523,0.0184693;;;figure;;;;;;;;;;;;"SAKODA, AKIYOSHI; SUZUKI, MOTOYUKI (1984): Fundamental study on solar powered adsorption cooling system. In: J. Chem. Eng. Japan / JCEJ 17 (1), S. 52–57. DOI: 10.1252/jcej.17.52."
Water;silica gel pellet;123;ads;;0.0000021;0.5-1.25;;;750;0.4;;650;1250;2200;gravimetric;adsorption potentials;;;;331.0310295,1408.504577,2093.284451,2226.345944,2317.217207,2369.143643,2378.879849,2511.941342,2615.794214,2674.211454,2875.426394,2943.579841,3079.886735,3342.764318,3407.672363,3505.03443,3926.936723,3991.844768,4121.660858,4770.741308,4803.19533,5549.637848,6068.902208,6847.798748,8308.22976,9119.580323,11553.63201,12527.25269,14604.31013,16681.36757,17460.26411,20997.75256,21127.56865,23269.53413,28137.63751,28332.36164,29727.88461,35050.3443,35050.3443;0.000389193,0.000363843,0.000342184,0.000230879,0.000281952,0.000230526,0.000310247,0.000219959,0.000265866,0.000202112,0.000189314,0.000179686,0.000192131,0.000151037,0.000165947,0.000161133,0.0001218,0.000135302,0.00013354,0.000110643,9.19E-05,9.14E-05,6.33E-05,6.95E-05,4.16E-05,5.03E-05,2.40E-05,3.37E-05,1.62E-05,2.43E-05,1.39E-05,1.18E-05,1.71E-05,2.01E-05,8.66E-06,1.55E-05,1.23E-05,6.52E-06,9.34E-06;figure;;;;;0.000001;;;;;;;Schawe, D. (2000): Theoretical and Experimental Investigations of an Adsorption Heat Pump with Heat Transfer between two Adsorbers. Dissertation. Universität Stuttgart, Stuttgart. Energietechnik.
Water;silica gel pellet;125;ads;;0.0000021;1-3.5;;;750;0.4;;690-760;1250;2200;gravimetric;adsorption potentials;;;;350.503443,1343.596532,1405.259174,2112.756865,2128.983876,2252.309162,2365.89824,2547.640766,2567.11318,2645.002834,2810.518349,2826.74536,3151.285585,3440.126385,3505.03443,3991.844768,4024.29879,4900.557398,5257.551645,6231.17232,7886.327467,8243.321715,10580.01134,11521.17799,13922.77565,17622.53422,19147.87328,21192.47669,22263.45944,28397.26969;0.000338729,0.00031718,0.000276578,0.000295798,0.000244259,0.000256853,0.000172335,0.000239947,0.000153442,0.000174488,0.000133554,0.000160898,0.000138855,0.000153768,0.000121287,0.000128907,0.000102392,9.71E-05,7.42E-05,6.76E-05,4.12E-05,4.30E-05,2.55E-05,2.35E-05,1.72E-05,1.40E-05,8.67E-06,1.15E-05,3.52E-06,6.80E-06;figure;;;;;0.000001;;;;;;;Schawe, D. (2000): Theoretical and Experimental Investigations of an Adsorption Heat Pump with Heat Transfer between two Adsorbers. Dissertation. Universität Stuttgart, Stuttgart. Energietechnik.
Water;silica gel pellet;Fuji;ads;;;;;;589;0.31;;;;;gravimetric;adsorption potentials;;;;145.0694806,382.9574655,486.8103375,684.7798748,1272.197682,1382.541359,1869.351696,1999.167786,2077.05744,2193.891921,2323.708011,2485.978124,2518.432146,2632.021225,2742.364901,2982.524668,3135.058574,3167.512596,3342.764318,3634.85052,3926.936723,4056.752813,4251.476948,4608.471195,4835.649353,5517.183825,5549.637848,6263.626343,6588.166568,7042.522883,8308.22976,9022.218255,9119.580323,9476.57457,12137.80442,13306.14923,15870.017,17492.71813,22231.00541,24080.8847,25086.95939,28527.08578,30798.86735,32161.9363,36348.5052;0.000286758,0.000295735,0.000277348,0.000279101,0.000267834,0.000274292,0.000215194,0.000255691,0.000187177,0.000183347,0.000177438,0.000167261,0.000155769,0.000156098,0.0001758,1.34E-04,1.32E-04,1.40E-04,1.22E-04,1.08E-04,1.12E-04,9.22E-05,8.85E-05,8.92E-05,8.48E-05,6.20E-05,7.22E-05,5.05E-05,4.69E-05,5.03E-05,3.63E-05,3.66E-05,3.23E-05,2.58E-05,2.39E-05,1.83E-05,1.37E-05,1.70E-05,9.29E-06,9.96E-06,1.29E-05,6.61E-06,7.18E-06,1.16E-05,9.31E-06;figure;;;;;0.000001;;;;;;;Schawe, D. (2000): Theoretical and Experimental Investigations of an Adsorption Heat Pump with Heat Transfer between two Adsorbers. Dissertation. Universität Stuttgart, Stuttgart. Energietechnik.
Water;silica gel pellet;WS;ads;;0.0000025;;;;650;0.4;;700;;;gravimetric;adsorption potentials;;;;114.2381592,889.2402165,1077.473547,1100.191363,1414.995381,1645.418941,1791.462042,2206.87353,2330.198816,2430.806285,2657.984443,2791.045935,2875.426394,3122.076965,3154.530987,3634.85052,3732.212588,4835.649353,5517.183825,5711.90796,6782.890703,7107.430928,9476.57457,9930.930885,12072.89637,12721.97682,14636.76415,15480.56873,18433.88478,19504.86752;0.000391357,0.000337195,0.000323942,0.000370052,0.000270155,0.000275347,0.000307627,0.000214264,0.000213306,0.000133385,0.000150681,0.000116102,0.000147227,0.00012706,0.000103045,9.04E-05,0.000109782,8.12E-05,6.87E-05,7.10E-05,5.30E-05,5.28E-05,3.44E-05,3.33E-05,2.45E-05,2.26E-05,1.78E-05,1.65E-05,1.17E-05,1.04E-05;figure;;;;;0.000001;;;;;;;Schawe, D. (2000): Theoretical and Experimental Investigations of an Adsorption Heat Pump with Heat Transfer between two Adsorbers. Dissertation. Universität Stuttgart, Stuttgart. Energietechnik.
Water;silica gel pellet;AF-25;ads;;0.0000025;;;;750;0.5;;600;;;gravimetric;adsorption potentials;;;;80.16143558,908.71263,1424.731588,1453.940208,1739.535606,1823.916065,2047.84882,2339.935022,2356.162034,2528.168353,2589.830996,2852.708578,3245.40225,3472.580408,3991.844768,4640.925218,4738.287285,5646.999915,7626.695288,8762.586075,15577.9308,22198.55139,28591.99382;0.000473471,0.000434851,0.000384922,0.000311735,0.000353983,0.000273542,0.000255405,0.000212731,0.000198009,0.000185633,0.000193741,0.000176031,0.000152774,0.000138905,0.000118634,1.09E-04,9.43E-05,8.58E-05,5.48E-05,3.82E-05,1.73E-05,1.09E-05,5.33E-06;figure;;;;;0.000001;;;;;;;Schawe, D. (2000): Theoretical and Experimental Investigations of an Adsorption Heat Pump with Heat Transfer between two Adsorbers. Dissertation. Universität Stuttgart, Stuttgart. Energietechnik.
